,Date,Open,High,Low,Close,Volume,movel_26,movel_10
0,2001-03-05,12.31,13.06,11.5,12.62,23303500,,
1,2001-03-06,13.08,14.0,11.25,11.88,21274000,,
2,2001-03-07,11.94,12.56,11.44,12.25,10282500,,
3,2001-03-08,11.94,12.0,11.62,11.69,4844000,,
4,2001-03-09,11.44,12.5,11.38,12.25,8785700,,
5,2001-03-12,11.38,11.69,10.5,10.62,5651000,,
6,2001-03-13,10.81,11.06,10.5,11.0,3294300,,
7,2001-03-14,10.25,10.94,10.12,10.62,3085500,,
8,2001-03-15,11.38,11.44,10.81,10.88,5698800,,
9,2001-03-16,10.62,11.09,10.25,11.0,6815600,,11.481
10,2001-03-19,11.19,11.31,10.12,10.5,6507400,,11.269
11,2001-03-20,10.56,11.5,10.12,10.25,6127300,,11.106
12,2001-03-21,10.38,10.44,9.95,10.0,5479100,,10.881
13,2001-03-22,10.06,10.25,9.56,10.19,6298000,,10.731
14,2001-03-23,10.56,10.81,9.94,10.19,3509500,,10.525
15,2001-03-26,10.7,11.29,10.5,10.94,6755100,,10.557
16,2001-03-27,10.92,11.8,10.51,11.64,5480700,,10.621
17,2001-03-28,11.1,11.16,10.75,10.8,3275600,,10.639
18,2001-03-29,10.57,11.03,10.0,10.0,4285700,,10.551
19,2001-03-30,10.12,10.84,9.91,10.23,3296100,,10.474
20,2001-04-02,10.33,10.53,8.5,9.1,8706600,,10.334
21,2001-04-03,8.71,9.15,8.5,8.63,4779300,,10.172
22,2001-04-04,8.57,9.0,8.1,8.4,5541300,,10.012
23,2001-04-05,9.02,9.3,8.72,9.12,5365300,,9.905
24,2001-04-06,8.9,8.9,8.2,8.37,5171000,,9.723
25,2001-04-09,11.84,11.9,10.7,11.18,23281900,10.5519230769,9.747
26,2001-04-10,11.24,13.5,11.2,12.01,18532400,10.5284615385,9.784
27,2001-04-11,13.1,13.75,12.18,13.32,13214100,10.5838461538,10.036
28,2001-04-12,13.05,15.01,13.0,14.67,11266000,10.6769230769,10.503
29,2001-04-16,14.5,14.54,13.65,14.03,6126500,10.7669230769,10.883
30,2001-04-17,13.81,15.63,13.75,14.74,4840200,10.8626923077,11.447
31,2001-04-18,15.66,18.16,15.55,16.54,19287400,11.0903846154,12.238
32,2001-04-19,16.9,16.9,15.69,15.99,8337400,11.2823076923,12.997
33,2001-04-20,15.62,16.2,14.97,15.78,8401000,11.4807692308,13.663
34,2001-04-23,16.39,17.46,16.02,16.2,11567900,11.6853846154,14.446
35,2001-04-24,16.44,17.62,15.48,15.68,6168400,11.8653846154,14.896
36,2001-04-25,15.69,16.1,14.6,16.09,9234300,12.0803846154,15.304
37,2001-04-26,16.3,16.5,15.0,15.43,5884000,12.2796153846,15.515
38,2001-04-27,15.72,15.73,15.02,15.27,4497700,12.4823076923,15.575
39,2001-04-30,15.63,16.9,15.59,15.78,5479200,12.6973076923,15.75
40,2001-05-01,15.9,17.05,15.8,16.89,4930300,12.955,15.965
41,2001-05-02,17.14,17.43,16.84,17.11,7437700,13.1923076923,16.022
42,2001-05-03,16.83,17.0,16.25,16.75,4962700,13.3888461538,16.098
43,2001-05-04,16.35,17.6,15.93,17.56,6122600,13.6488461538,16.276
44,2001-05-07,17.36,17.53,16.51,16.92,4983900,13.915,16.348
45,2001-05-08,16.28,16.49,15.6,16.18,6290000,14.1438461538,16.398
46,2001-05-09,15.56,15.66,15.0,15.01,4604900,14.3711538462,16.29
47,2001-05-10,15.4,15.64,12.85,14.62,4832800,14.6015384615,16.209
48,2001-05-11,14.55,14.8,14.0,14.68,3341000,14.8430769231,16.15
49,2001-05-14,14.53,14.53,13.15,13.33,6040300,15.005,15.905
50,2001-05-15,13.35,14.3,13.14,13.54,6032800,15.2038461538,15.57
51,2001-05-16,13.45,14.38,13.1,14.13,5678400,15.3173076923,15.272
52,2001-05-17,14.09,15.0,14.03,14.78,6220900,15.4238461538,15.075
53,2001-05-18,14.8,15.0,14.5,14.72,4952100,15.4776923077,14.791
54,2001-05-21,14.95,16.43,14.75,16.38,7096700,15.5434615385,14.737
55,2001-05-22,16.79,17.0,15.9,16.25,7264100,15.6288461538,14.744
56,2001-05-23,16.2,16.8,15.09,15.6,8849500,15.6619230769,14.803
57,2001-05-24,15.71,16.75,15.25,16.75,5214100,15.67,15.016
58,2001-05-25,16.65,17.53,16.37,17.09,6872300,15.7123076923,15.257
59,2001-05-29,17.25,17.54,16.7,17.22,9246300,15.7676923077,15.646
60,2001-05-30,16.54,17.0,15.62,15.66,8655400,15.7469230769,15.858
61,2001-05-31,15.84,17.2,15.75,16.69,8745300,15.7857692308,16.114
62,2001-06-01,17.2,17.31,16.39,16.95,6092700,15.8188461538,16.331
63,2001-06-04,17.32,17.4,16.15,16.91,6119900,15.8757692308,16.55
64,2001-06-05,17.06,17.5,16.0,16.44,12634200,15.9207692308,16.556
65,2001-06-06,16.67,16.72,15.48,15.99,9623200,15.9288461538,16.53
66,2001-06-07,15.82,16.23,15.69,16.13,3371700,15.8996153846,16.583
67,2001-06-08,16.25,16.33,15.6,15.7,2417100,15.8453846154,16.478
68,2001-06-11,15.5,15.55,14.6,14.86,4903100,15.7726923077,16.255
69,2001-06-12,14.6,14.79,14.32,14.64,4291400,15.6603846154,15.997
70,2001-06-13,14.96,15.15,14.1,14.12,3713100,15.5526923077,15.843
71,2001-06-14,14.12,14.12,13.16,13.29,5036700,15.4415384615,15.503
72,2001-06-15,13.01,13.46,12.21,12.49,7367300,15.3446153846,15.057
73,2001-06-18,12.45,12.7,11.67,11.83,5463900,15.2373076923,14.549
74,2001-06-19,12.45,12.65,11.2,11.36,6036900,15.1096153846,14.041
75,2001-06-20,11.27,12.7,11.2,12.53,10374900,15.0788461538,13.695
76,2001-06-21,12.68,13.2,12.59,13.08,9725500,15.0611538462,13.39
77,2001-06-22,13.13,13.28,12.37,12.4,6192000,14.9946153846,13.06
78,2001-06-25,12.71,13.14,12.57,12.81,6420300,14.9188461538,12.855
79,2001-06-26,12.54,13.74,12.04,13.25,6364100,14.8623076923,12.716
