,Date,Open,High,Low,Close,Volume,movel_26,movel_10
0,2001-03-05,1.38,1.46,1.37,1.46,79272200,,
1,2001-03-06,1.48,1.58,1.48,1.54,180133800,,
2,2001-03-07,1.52,1.54,1.48,1.52,103644800,,
3,2001-03-08,1.48,1.51,1.46,1.49,49121800,,
4,2001-03-09,1.47,1.48,1.43,1.45,72013200,,
5,2001-03-12,1.41,1.42,1.29,1.33,95139800,,
6,2001-03-13,1.35,1.4,1.3,1.4,109923800,,
7,2001-03-14,1.32,1.46,1.32,1.46,117306000,,
8,2001-03-15,1.49,1.53,1.37,1.41,126858200,,
9,2001-03-16,1.35,1.45,1.35,1.4,101500000,,1.446
10,2001-03-19,1.41,1.5,1.39,1.47,86828000,,1.447
11,2001-03-20,1.48,1.5,1.41,1.41,116652200,,1.434
12,2001-03-21,1.41,1.49,1.38,1.44,91996800,,1.426
13,2001-03-22,1.46,1.55,1.44,1.54,176290800,,1.431
14,2001-03-23,1.57,1.68,1.57,1.64,231952000,,1.45
15,2001-03-26,1.65,1.7,1.51,1.56,178795400,,1.473
16,2001-03-27,1.57,1.65,1.56,1.63,132328000,,1.496
17,2001-03-28,1.58,1.61,1.54,1.58,139308400,,1.508
18,2001-03-29,1.56,1.67,1.54,1.61,148346800,,1.528
19,2001-03-30,1.61,1.62,1.52,1.58,96306000,,1.546
20,2001-04-02,1.58,1.62,1.51,1.54,80453800,,1.553
21,2001-04-03,1.53,1.53,1.44,1.45,90864200,,1.557
22,2001-04-04,1.41,1.45,1.34,1.39,164099600,,1.552
23,2001-04-05,1.47,1.55,1.43,1.49,106274000,,1.547
24,2001-04-06,1.49,1.5,1.42,1.47,78481200,,1.53
25,2001-04-09,1.48,1.52,1.43,1.47,64248800,1.48961538462,1.521
26,2001-04-10,1.49,1.62,1.48,1.57,109901400,1.49384615385,1.515
27,2001-04-11,1.64,1.64,1.52,1.56,82254200,1.49461538462,1.513
28,2001-04-12,1.53,1.64,1.51,1.6,72522800,1.49769230769,1.512
29,2001-04-16,1.58,1.6,1.49,1.53,68936000,1.49923076923,1.507
30,2001-04-17,1.51,1.52,1.4,1.46,164578400,1.49961538462,1.499
31,2001-04-18,1.54,1.72,1.51,1.63,256502400,1.51115384615,1.517
32,2001-04-19,1.82,1.84,1.69,1.84,458568600,1.52807692308,1.562
33,2001-04-20,1.78,1.83,1.76,1.79,168978600,1.54076923077,1.592
34,2001-04-23,1.74,1.79,1.71,1.73,132970600,1.55307692308,1.618
35,2001-04-24,1.74,1.77,1.68,1.72,91861000,1.56538461538,1.643
36,2001-04-25,1.73,1.78,1.68,1.77,81222400,1.57692307692,1.663
37,2001-04-26,1.8,1.86,1.75,1.76,197206800,1.59038461538,1.683
38,2001-04-27,1.8,1.88,1.77,1.87,114543800,1.60692307692,1.71
39,2001-04-30,1.9,1.94,1.78,1.82,121542400,1.61769230769,1.739
40,2001-05-01,1.81,1.89,1.8,1.85,102646600,1.62576923077,1.778
41,2001-05-02,1.88,1.91,1.84,1.9,90347600,1.63884615385,1.805
42,2001-05-03,1.88,1.88,1.77,1.78,73033800,1.64461538462,1.799
43,2001-05-04,1.73,1.85,1.71,1.84,67862200,1.65461538462,1.804
44,2001-05-07,1.83,1.84,1.77,1.78,67835600,1.66115384615,1.809
45,2001-05-08,1.81,1.82,1.71,1.76,77050400,1.66807692308,1.813
46,2001-05-09,1.72,1.75,1.69,1.71,80414600,1.67461538462,1.807
47,2001-05-10,1.73,1.75,1.63,1.64,70197400,1.68192307692,1.795
48,2001-05-11,1.64,1.68,1.63,1.63,48841800,1.69115384615,1.771
49,2001-05-14,1.64,1.69,1.62,1.66,76511400,1.69769230769,1.755
50,2001-05-15,1.67,1.74,1.65,1.66,58434600,1.705,1.736
51,2001-05-16,1.66,1.75,1.63,1.72,78169000,1.71461538462,1.718
52,2001-05-17,1.73,1.74,1.66,1.68,80203200,1.71884615385,1.708
53,2001-05-18,1.67,1.69,1.65,1.68,38805200,1.72346153846,1.692
54,2001-05-21,1.69,1.71,1.65,1.68,112134400,1.72653846154,1.682
55,2001-05-22,1.71,1.72,1.67,1.68,99614200,1.73230769231,1.674
56,2001-05-23,1.7,1.7,1.63,1.66,64404200,1.74,1.669
57,2001-05-24,1.66,1.66,1.62,1.66,62364400,1.74115384615,1.671
