,Date,Open,High,Low,Close,Volume,movel_26,movel_10,MACD
25,2001-04-09,1.48,1.52,1.43,1.47,64248800,1.4896153846200002,1.521,0.0313846153799997
26,2001-04-10,1.49,1.62,1.48,1.57,109901400,1.4938461538499999,1.515,0.021153846150000044
27,2001-04-11,1.64,1.64,1.52,1.56,82254200,1.49461538462,1.5130000000000001,0.018384615380000024
28,2001-04-12,1.53,1.64,1.51,1.6,72522800,1.49769230769,1.5119999999999998,0.014307692309999842
29,2001-04-16,1.58,1.6,1.49,1.53,68936000,1.4992307692299998,1.507,0.007769230770000135
30,2001-04-17,1.51,1.52,1.4,1.46,164578400,1.4996153846200002,1.499,-0.0006153846200001034
31,2001-04-18,1.54,1.72,1.51,1.63,256502400,1.51115384615,1.517,0.005846153849999869
32,2001-04-19,1.82,1.84,1.69,1.84,458568600,1.52807692308,1.5619999999999998,0.03392307691999985
33,2001-04-20,1.78,1.83,1.76,1.79,168978600,1.5407692307700003,1.5919999999999999,0.051230769229999584
34,2001-04-23,1.74,1.79,1.71,1.73,132970600,1.55307692308,1.618,0.06492307692000021
35,2001-04-24,1.74,1.77,1.68,1.72,91861000,1.56538461538,1.643,0.07761538462000006
36,2001-04-25,1.73,1.78,1.68,1.77,81222400,1.57692307692,1.663,0.08607692308000003
37,2001-04-26,1.8,1.86,1.75,1.76,197206800,1.5903846153799999,1.683,0.09261538462000019
38,2001-04-27,1.8,1.88,1.77,1.87,114543800,1.60692307692,1.71,0.10307692307999994
39,2001-04-30,1.9,1.94,1.78,1.82,121542400,1.6176923076899998,1.739,0.12130769231000027
40,2001-05-01,1.81,1.89,1.8,1.85,102646600,1.6257692307700002,1.778,0.15223076922999978
41,2001-05-02,1.88,1.91,1.84,1.9,90347600,1.6388461538499999,1.805,0.16615384615000006
42,2001-05-03,1.88,1.88,1.77,1.78,73033800,1.6446153846200002,1.7990000000000002,0.15438461537999992
43,2001-05-04,1.73,1.85,1.71,1.84,67862200,1.65461538462,1.804,0.14938461538000003
44,2001-05-07,1.83,1.84,1.77,1.78,67835600,1.6611538461500002,1.8090000000000002,0.14784615385
45,2001-05-08,1.81,1.82,1.71,1.76,77050400,1.6680769230799999,1.8130000000000002,0.14492307692000028
46,2001-05-09,1.72,1.75,1.69,1.71,80414600,1.67461538462,1.807,0.1323846153799999
47,2001-05-10,1.73,1.75,1.63,1.64,70197400,1.68192307692,1.795,0.11307692307999995
48,2001-05-11,1.64,1.68,1.63,1.63,48841800,1.6911538461500002,1.771,0.07984615384999971
49,2001-05-14,1.64,1.69,1.62,1.66,76511400,1.69769230769,1.755,0.05730769230999999
50,2001-05-15,1.67,1.74,1.65,1.66,58434600,1.705,1.736,0.030999999999999917
51,2001-05-16,1.66,1.75,1.63,1.72,78169000,1.71461538462,1.7180000000000002,0.003384615380000122
52,2001-05-17,1.73,1.74,1.66,1.68,80203200,1.71884615385,1.7080000000000002,-0.010846153849999762
53,2001-05-18,1.67,1.69,1.65,1.68,38805200,1.7234615384599998,1.692,-0.03146153845999988
54,2001-05-21,1.69,1.71,1.65,1.68,112134400,1.7265384615400001,1.682,-0.044538461540000185
55,2001-05-22,1.71,1.72,1.67,1.68,99614200,1.7323076923099998,1.6740000000000002,-0.05830769230999966
56,2001-05-23,1.7,1.7,1.63,1.66,64404200,1.74,1.669,-0.07099999999999995
57,2001-05-24,1.66,1.66,1.62,1.66,62364400,1.74115384615,1.671,-0.07015384614999998
58,2001-05-25,1.66,1.66,1.61,1.63,38738000,1.73307692308,1.671,-0.06207692308000001
59,2001-05-29,1.59,1.61,1.46,1.53,122878000,1.72307692308,1.6580000000000001,-0.0650769230799999
60,2001-05-30,1.48,1.48,1.38,1.41,188984600,1.7107692307700002,1.633,-0.0777692307700002
61,2001-05-31,1.41,1.45,1.39,1.42,107318400,1.6992307692299997,1.6030000000000002,-0.09623076922999951
62,2001-06-01,1.44,1.51,1.43,1.49,99120000,1.6884615384600001,1.584,-0.10446153846000006
63,2001-06-04,1.51,1.51,1.46,1.48,69883800,1.6776923076899999,1.564,-0.11369230768999983
64,2001-06-05,1.49,1.51,1.45,1.5,113045800,1.6634615384600002,1.546,-0.11746153846000018
65,2001-06-06,1.5,1.5,1.45,1.48,54265400,1.65038461538,1.526,-0.1243846153799999
66,2001-06-07,1.48,1.56,1.46,1.55,78559600,1.6388461538499999,1.515,-0.12384615384999997
67,2001-06-08,1.55,1.55,1.48,1.52,82308800,1.6242307692299998,1.501,-0.12323076922999987
68,2001-06-11,1.5,1.5,1.42,1.43,69643000,1.6107692307700001,1.4809999999999999,-0.12976923077000024
69,2001-06-12,1.41,1.48,1.41,1.45,75229000,1.5957692307700002,1.473,-0.12276923077000013
70,2001-06-13,1.53,1.55,1.43,1.46,126242200,1.5834615384600002,1.4780000000000002,-0.10546153845999995
71,2001-06-14,1.43,1.46,1.41,1.42,72027200,1.5703846153799998,1.4780000000000002,-0.09238461537999965
72,2001-06-15,1.44,1.48,1.38,1.46,110958400,1.5607692307700003,1.475,-0.0857692307700002
73,2001-06-18,1.46,1.49,1.43,1.45,85596000,1.5534615384600001,1.472,-0.08146153846000015
74,2001-06-19,1.49,1.53,1.43,1.44,79297400,1.5461538461500002,1.466,-0.08015384615000021
75,2001-06-20,1.43,1.56,1.43,1.55,106915200,1.54192307692,1.473,-0.06892307691999999
76,2001-06-21,1.54,1.64,1.51,1.61,82545400,1.54,1.479,-0.06099999999999994
77,2001-06-22,1.61,1.64,1.54,1.59,70872200,1.535,1.486,-0.04899999999999993
78,2001-06-25,1.61,1.71,1.6,1.71,106547000,1.5361538461500002,1.514,-0.022153846150000156
79,2001-06-26,1.67,1.7,1.64,1.7,67271400,1.53692307692,1.5390000000000001,0.0020769230800001814
80,2001-06-27,1.7,1.71,1.61,1.67,91623000,1.5365384615399997,1.56,0.02346153846000032
81,2001-06-28,1.65,1.71,1.64,1.68,85583400,1.5365384615399997,1.5859999999999999,0.04946153846000012
82,2001-06-29,1.69,1.79,1.66,1.66,127569400,1.5365384615399997,1.6059999999999999,0.06946153846000014
83,2001-07-02,1.69,1.73,1.65,1.71,56232400,1.5384615384600002,1.632,0.09353846153999967
