,Date,Open,High,Low,Close,Volume,movel_26,movel_10
0,2001-03-05,22.94,23.31,22.5,23.08,81435600,,
1,2001-03-06,24.06,24.94,23.94,24.0,87484100,,
2,2001-03-07,24.88,24.94,23.56,24.0,72856000,,
3,2001-03-08,23.75,24.0,22.62,22.81,76308000,,
4,2001-03-09,22.12,23.69,20.0,20.62,56893400,,
5,2001-03-12,19.12,19.61,18.0,18.81,75314200,,
6,2001-03-13,19.39,21.5,19.31,21.38,35146700,,
7,2001-03-14,20.44,21.12,19.7,20.25,18905700,,
8,2001-03-15,21.38,21.88,20.0,20.31,85334400,,
9,2001-03-16,19.64,20.25,19.0,19.94,7078200,,21.52
10,2001-03-19,20.5,21.19,19.75,20.81,65708700,,21.293
11,2001-03-20,21.31,21.94,19.03,19.06,17909700,,20.799
12,2001-03-21,19.25,20.0,18.75,19.31,6938800,,20.33
13,2001-03-22,19.7,19.94,18.56,19.75,17416200,,20.024
14,2001-03-23,20.38,20.5,18.45,18.69,26354200,,19.831
15,2001-03-26,19.12,19.19,17.5,17.88,18755100,,19.738
16,2001-03-27,17.94,18.69,17.5,18.12,996400,,19.412
17,2001-03-28,16.75,17.0,15.38,15.75,83100000,,18.962
18,2001-03-29,15.69,16.19,15.0,15.25,37862500,,18.456
19,2001-03-30,15.56,16.25,15.0,15.81,95470900,,18.043
20,2001-04-02,15.88,16.12,15.0,15.06,72197900,,17.468
21,2001-04-03,14.88,15.0,13.5,13.75,37016900,,16.937
22,2001-04-04,14.12,15.0,13.19,13.69,58189800,,16.375
23,2001-04-05,14.78,15.19,14.19,14.94,11834200,,15.894
24,2001-04-06,14.75,14.88,13.38,13.62,96256000,,15.387
25,2001-04-09,14.16,14.62,13.7,14.49,73508500,18.5069230769,15.048
26,2001-04-10,14.95,17.0,14.62,15.86,11151900,18.2292307692,14.822
27,2001-04-11,17.5,18.05,17.23,17.4,54468900,17.9753846154,14.987
28,2001-04-12,17.2,18.32,17.03,17.98,84913900,17.7438461538,15.26
29,2001-04-16,17.65,18.34,15.18,17.2,1736300,17.5280769231,15.399
30,2001-04-17,15.9,17.25,15.67,16.65,76546500,17.3753846154,15.558
31,2001-04-18,17.9,19.5,17.15,18.0,38340800,17.3442307692,15.983
