,Date,Open,High,Low,Close,Volume,movel_26,movel_10
0,2001-03-05,29.81,30.75,29.5,30.38,32786300,,
1,2001-03-06,31.62,32.88,31.25,31.5,58174100,,
2,2001-03-07,32.75,33.69,32.62,32.94,75656000,,
3,2001-03-08,32.94,33.69,32.69,33.25,59159300,,
4,2001-03-09,30.19,30.59,27.5,29.44,93492700,,
5,2001-03-12,28.5,29.38,27.56,27.75,58151200,,
6,2001-03-13,28.25,29.62,27.75,29.38,51354300,,
7,2001-03-14,28.38,29.88,28.0,29.06,56353100,,
8,2001-03-15,29.75,29.94,27.88,28.5,38938900,,
9,2001-03-16,28.38,28.92,27.69,27.88,56072100,,30.008
10,2001-03-19,27.5,27.75,25.38,27.06,75252700,,29.676
11,2001-03-20,27.38,27.44,24.5,24.62,63374400,,28.988
12,2001-03-21,24.75,26.75,24.62,25.56,67822700,,28.25
13,2001-03-22,26.12,28.81,26.0,28.69,94019400,,27.794
14,2001-03-23,29.69,29.75,27.69,28.81,83832800,,27.731
15,2001-03-26,29.44,29.56,27.88,28.31,63089100,,27.787
16,2001-03-27,28.38,29.88,28.06,29.38,69672000,,27.787
17,2001-03-28,28.69,29.31,26.75,26.94,71065900,,27.575
18,2001-03-29,26.88,27.56,25.75,26.56,62584700,,27.381
19,2001-03-30,26.62,26.75,25.31,26.31,45040100,,27.224
20,2001-04-02,26.06,26.88,25.06,25.8,42411900,,27.098
21,2001-04-03,25.31,26.38,24.62,25.0,55632300,,27.136
22,2001-04-04,24.69,25.09,22.44,22.62,81779800,,26.842
23,2001-04-05,24.25,25.81,24.09,25.62,65842200,,26.535
24,2001-04-06,25.06,25.23,23.0,23.62,71033200,,26.016
25,2001-04-09,23.7,24.2,22.25,23.2,59082900,27.6223076923,25.505
26,2001-04-10,23.47,25.1,23.35,24.77,54725100,27.4065384615,25.044
27,2001-04-11,27.86,28.29,27.17,27.52,90486400,27.2534615385,25.102
28,2001-04-12,27.46,28.51,26.31,28.12,52694800,27.0680769231,25.258
29,2001-04-16,26.65,26.8,25.25,26.3,57167000,26.8007692308,25.257
30,2001-04-17,25.25,28.1,25.18,26.04,61795300,26.67,25.281
31,2001-04-18,29.22,32.28,28.6,31.28,52288500,26.8057692308,25.909
32,2001-04-19,30.85,32.66,30.45,32.49,82648700,26.9253846154,26.896
33,2001-04-20,31.97,32.57,31.26,32.43,60725100,27.055,27.577
34,2001-04-23,31.07,31.3,29.65,30.32,57496700,27.125,28.247
35,2001-04-24,29.94,31.04,28.9,29.14,48749100,27.1734615385,28.841
36,2001-04-25,29.0,29.36,27.5,29.0,62380700,27.2480769231,29.264
37,2001-04-26,30.22,30.36,28.28,28.64,51462100,27.4026923077,29.376
38,2001-04-27,29.62,30.38,29.05,30.18,41398300,27.5803846154,29.582
39,2001-04-30,30.85,31.65,30.53,30.91,38502700,27.6657692308,30.043
40,2001-05-01,30.77,31.41,30.12,31.18,35354300,27.7569230769,30.557
41,2001-05-02,31.87,32.5,31.2,31.94,44103100,27.8965384615,30.623
42,2001-05-03,31.14,31.2,30.11,30.4,35433300,27.9357692308,30.414
43,2001-05-04,29.91,31.1,29.3,30.88,34813400,28.0873076923,30.259
44,2001-05-07,31.05,31.68,30.34,31.16,32579800,28.2642307692,30.343
45,2001-05-08,31.53,31.96,30.5,31.48,40264200,28.4630769231,30.577
46,2001-05-09,30.99,30.99,29.3,29.85,58467000,28.6188461538,30.662
47,2001-05-10,30.48,30.54,28.9,29.01,48266500,28.7730769231,30.699
48,2001-05-11,29.03,29.24,27.79,27.94,46297000,28.9776923077,30.475
49,2001-05-14,28.05,28.15,26.71,27.41,40459800,29.0465384615,30.125
50,2001-05-15,27.62,30.25,26.93,27.2,45907800,29.1842307692,29.727
51,2001-05-16,27.05,28.5,26.5,28.39,59098900,29.3838461538,29.372
52,2001-05-17,28.78,29.19,28.0,28.6,55063000,29.5311538462,29.192
53,2001-05-18,28.55,29.14,27.99,28.76,33848800,29.5788461538,28.98
54,2001-05-21,28.37,30.01,28.19,29.9,43272000,29.6473076923,28.854
55,2001-05-22,30.19,30.43,29.4,29.53,38386200,29.7715384615,28.659
56,2001-05-23,29.37,30.25,28.5,28.8,51527600,29.8776923077,28.554
57,2001-05-24,28.84,29.4,28.12,29.21,47217300,29.7980769231,28.574
58,2001-05-25,29.44,29.56,28.68,29.1,28853300,29.6676923077,28.69
59,2001-05-29,28.96,29.02,27.78,27.85,37797600,29.4915384615,28.734
60,2001-05-30,27.34,27.7,26.4,26.6,45114200,29.3484615385,28.674
61,2001-05-31,27.04,27.58,26.84,27.01,36614400,29.2665384615,28.536
62,2001-06-01,27.25,29.07,27.19,28.74,56500700,29.2565384615,28.55
63,2001-06-04,29.12,29.2,28.06,28.5,36987800,29.2511538462,28.524
64,2001-06-05,28.86,29.95,28.85,29.73,50485700,29.2338461538,28.507
65,2001-06-06,29.45,30.69,28.81,29.82,71268400,29.1919230769,28.536
66,2001-06-07,29.72,32.0,29.67,31.16,69436500,29.1911538462,28.772
67,2001-06-08,31.85,32.0,30.0,30.67,67773000,29.1423076923,28.918
68,2001-06-11,30.17,30.51,29.42,30.33,39509000,29.1396153846,29.041
69,2001-06-12,29.7,30.21,29.0,30.13,53268800,29.1107692308,29.269
70,2001-06-13,29.9,30.13,28.9,29.06,39938600,29.03,29.515
71,2001-06-14,28.56,29.1,27.23,27.61,40739700,28.8811538462,29.575
72,2001-06-15,27.36,28.3,27.11,27.68,51221800,28.7976923077,29.469
73,2001-06-18,27.87,28.54,27.44,27.55,25139800,28.7415384615,29.374
74,2001-06-19,28.53,28.79,26.15,26.67,59770700,28.6926923077,29.068
75,2001-06-20,26.31,27.66,26.26,27.49,41761000,28.6957692308,28.835
76,2001-06-21,27.35,28.09,26.95,27.27,43700300,28.6984615385,28.446
77,2001-06-22,27.47,28.3,27.27,27.61,29543100,28.6684615385,28.14
78,2001-06-25,28.0,28.69,27.9,28.58,27359700,28.6676923077,27.965
79,2001-06-26,28.09,29.07,28.03,28.97,33624800,28.6757692308,27.849
