,Date,Open,High,Low,Close,Volume,movel_26,movel_10,MACD
25,2001-04-09,23.7,24.2,22.25,23.2,59082900,27.6223076923,25.505,-2.1173076923000025
26,2001-04-10,23.47,25.1,23.35,24.77,54725100,27.406538461500002,25.044,-2.3625384615000016
27,2001-04-11,27.86,28.29,27.17,27.52,90486400,27.253461538499998,25.101999999999997,-2.1514615385000013
28,2001-04-12,27.46,28.51,26.31,28.12,52694800,27.068076923099998,25.258000000000003,-1.8100769230999951
29,2001-04-16,26.65,26.8,25.25,26.3,57167000,26.8007692308,25.256999999999998,-1.5437692308000024
30,2001-04-17,25.25,28.1,25.18,26.04,61795300,26.67,25.281,-1.389000000000003
31,2001-04-18,29.22,32.28,28.6,31.28,52288500,26.8057692308,25.909000000000002,-0.8967692307999968
32,2001-04-19,30.85,32.66,30.45,32.49,82648700,26.9253846154,26.896,-0.029384615399997926
33,2001-04-20,31.97,32.57,31.26,32.43,60725100,27.055,27.576999999999998,0.5219999999999985
34,2001-04-23,31.07,31.3,29.65,30.32,57496700,27.125,28.247,1.1219999999999999
35,2001-04-24,29.94,31.04,28.9,29.14,48749100,27.1734615385,28.840999999999998,1.6675384614999977
36,2001-04-25,29.0,29.36,27.5,29.0,62380700,27.2480769231,29.264,2.0159230768999983
37,2001-04-26,30.22,30.36,28.28,28.64,51462100,27.4026923077,29.375999999999998,1.973307692299997
38,2001-04-27,29.62,30.38,29.05,30.18,41398300,27.5803846154,29.581999999999997,2.0016153845999973
39,2001-04-30,30.85,31.65,30.53,30.91,38502700,27.6657692308,30.043000000000003,2.377230769200004
40,2001-05-01,30.77,31.41,30.12,31.18,35354300,27.7569230769,30.557,2.800076923099997
41,2001-05-02,31.87,32.5,31.2,31.94,44103100,27.8965384615,30.623,2.7264615385000006
42,2001-05-03,31.14,31.2,30.11,30.4,35433300,27.9357692308,30.414,2.478230769200003
43,2001-05-04,29.91,31.1,29.3,30.88,34813400,28.0873076923,30.259,2.171692307699999
44,2001-05-07,31.05,31.68,30.34,31.16,32579800,28.2642307692,30.343000000000004,2.0787692308000025
45,2001-05-08,31.53,31.96,30.5,31.48,40264200,28.4630769231,30.576999999999998,2.1139230768999973
46,2001-05-09,30.99,30.99,29.3,29.85,58467000,28.6188461538,30.662,2.043153846199999
47,2001-05-10,30.48,30.54,28.9,29.01,48266500,28.7730769231,30.699,1.925923076900002
48,2001-05-11,29.03,29.24,27.79,27.94,46297000,28.9776923077,30.475,1.4973076923000015
49,2001-05-14,28.05,28.15,26.71,27.41,40459800,29.046538461500003,30.125,1.0784615384999974
50,2001-05-15,27.62,30.25,26.93,27.2,45907800,29.1842307692,29.726999999999997,0.5427692307999976
51,2001-05-16,27.05,28.5,26.5,28.39,59098900,29.3838461538,29.372,-0.011846153800000536
52,2001-05-17,28.78,29.19,28.0,28.6,55063000,29.5311538462,29.191999999999997,-0.3391538462000021
53,2001-05-18,28.55,29.14,27.99,28.76,33848800,29.5788461538,28.98,-0.5988461538000003
54,2001-05-21,28.37,30.01,28.19,29.9,43272000,29.6473076923,28.854,-0.7933076923000009
55,2001-05-22,30.19,30.43,29.4,29.53,38386200,29.7715384615,28.659000000000002,-1.112538461499998
56,2001-05-23,29.37,30.25,28.5,28.8,51527600,29.8776923077,28.554000000000002,-1.3236923076999965
57,2001-05-24,28.84,29.4,28.12,29.21,47217300,29.7980769231,28.574,-1.2240769230999966
58,2001-05-25,29.44,29.56,28.68,29.1,28853300,29.6676923077,28.69,-0.9776923076999999
59,2001-05-29,28.96,29.02,27.78,27.85,37797600,29.4915384615,28.734,-0.7575384614999976
60,2001-05-30,27.34,27.7,26.4,26.6,45114200,29.3484615385,28.674,-0.674461538500001
61,2001-05-31,27.04,27.58,26.84,27.01,36614400,29.2665384615,28.535999999999998,-0.7305384615000037
62,2001-06-01,27.25,29.07,27.19,28.74,56500700,29.2565384615,28.55,-0.7065384614999992
63,2001-06-04,29.12,29.2,28.06,28.5,36987800,29.251153846199998,28.524,-0.7271538461999967
64,2001-06-05,28.86,29.95,28.85,29.73,50485700,29.233846153800002,28.506999999999998,-0.726846153800004
65,2001-06-06,29.45,30.69,28.81,29.82,71268400,29.1919230769,28.535999999999998,-0.6559230769000024
66,2001-06-07,29.72,32.0,29.67,31.16,69436500,29.1911538462,28.772,-0.4191538462000004
67,2001-06-08,31.85,32.0,30.0,30.67,67773000,29.1423076923,28.918000000000003,-0.22430769229999825
68,2001-06-11,30.17,30.51,29.42,30.33,39509000,29.1396153846,29.041,-0.09861538459999863
69,2001-06-12,29.7,30.21,29.0,30.13,53268800,29.1107692308,29.269000000000002,0.1582307692000029
70,2001-06-13,29.9,30.13,28.9,29.06,39938600,29.03,29.515,0.48499999999999943
71,2001-06-14,28.56,29.1,27.23,27.61,40739700,28.8811538462,29.575,0.6938461537999991
72,2001-06-15,27.36,28.3,27.11,27.68,51221800,28.7976923077,29.469,0.671307692300001
73,2001-06-18,27.87,28.54,27.44,27.55,25139800,28.7415384615,29.374000000000002,0.632461538500003
74,2001-06-19,28.53,28.79,26.15,26.67,59770700,28.6926923077,29.068,0.3753076923000016
75,2001-06-20,26.31,27.66,26.26,27.49,41761000,28.6957692308,28.835,0.139230769200001
76,2001-06-21,27.35,28.09,26.95,27.27,43700300,28.6984615385,28.445999999999998,-0.2524615385000004
77,2001-06-22,27.47,28.3,27.27,27.61,29543100,28.6684615385,28.14,-0.5284615385000002
78,2001-06-25,28.0,28.69,27.9,28.58,27359700,28.6676923077,27.965,-0.7026923077000014
79,2001-06-26,28.09,29.07,28.03,28.97,33624800,28.6757692308,27.849,-0.8267692308000001
80,2001-06-27,29.0,29.21,28.35,28.65,32776800,28.6276923077,27.808000000000003,-0.8196923076999951
81,2001-06-28,29.23,30.5,29.2,29.64,53036000,28.6319230769,28.011,-0.6209230769000023
82,2001-06-29,29.81,30.77,28.3,29.25,46304100,28.6492307692,28.168000000000003,-0.4812307691999962
83,2001-07-02,29.56,30.54,29.16,30.06,37552600,28.681923076900002,28.419,-0.2629230769000017
84,2001-07-03,29.94,30.69,29.65,30.46,21633500,28.7342307692,28.798000000000002,0.06376923080000196
85,2001-07-05,30.08,31.0,29.23,29.84,33591200,28.8107692308,29.033,0.22223076920000295
86,2001-07-06,29.14,29.81,28.3,28.43,35088500,28.8811538462,29.149,0.26784615380000076
87,2001-07-09,28.53,29.43,28.11,28.9,29577100,28.9538461538,29.278000000000002,0.32415384620000154
88,2001-07-10,29.23,29.8,27.46,27.79,39933900,28.9173076923,29.199,0.281692307700002
89,2001-07-11,27.65,28.5,27.0,28.06,48898200,28.9003846154,29.108,0.2076153846000004
90,2001-07-12,29.35,30.2,29.05,30.1,47607900,28.9146153846,29.253,0.338384615399999
91,2001-07-13,30.01,30.38,29.25,30.19,41839800,28.928846153800002,29.308000000000003,0.37915384620000125
92,2001-07-16,30.03,30.75,28.77,29.13,64134800,28.8507692308,29.296,0.4452307691999984
93,2001-07-17,28.6,29.96,28.0,29.9,96499300,28.821153846199998,29.28,0.45884615380000326
94,2001-07-18,28.87,30.15,28.52,28.89,70471400,28.7657692308,29.123,0.35723076920000096
95,2001-07-19,29.59,30.22,29.43,29.96,50983100,28.759230769200002,29.135,0.3757692307999996
96,2001-07-20,29.41,30.03,28.93,29.93,48742400,28.7926923077,29.285,0.49230769229999893
97,2001-07-23,29.97,30.23,28.91,29.0,34337200,28.8461538462,29.295,0.4488461538000017
98,2001-07-24,28.71,29.59,28.43,28.88,37486300,28.8923076923,29.404,0.5116923076999988
99,2001-07-25,28.97,29.48,28.19,29.42,34604500,28.9642307692,29.54,0.5757692307999989
100,2001-07-26,29.13,29.9,28.8,29.83,45453000,29.0857692308,29.513,0.42723076920000125
101,2001-07-27,29.61,29.85,29.01,29.22,34163900,29.1523076923,29.416,0.2636923077000013
102,2001-07-30,29.51,29.74,28.8,29.04,30158800,29.2203846154,29.406999999999996,0.18661538459999605
103,2001-07-31,29.17,30.42,29.03,29.81,48398200,29.305,29.398000000000003,0.09300000000000352
104,2001-08-01,30.62,30.98,30.28,30.75,43816500,29.3884615385,29.584,0.19553846149999998
105,2001-08-02,31.42,32.3,31.33,32.11,72610600,29.509230769200002,29.799,0.2897692307999975
106,2001-08-03,32.05,32.08,31.25,31.68,34954700,29.6257692308,29.974,0.3482307692000006
107,2001-08-06,30.43,30.68,30.04,30.28,53069700,29.6503846154,30.101999999999997,0.4516153845999966
108,2001-08-07,29.95,31.0,29.77,30.62,42748700,29.7030769231,30.276,0.5729230769000004
109,2001-08-08,30.39,31.19,29.3,29.61,47824000,29.6857692308,30.295,0.6092307692000034
110,2001-08-09,29.5,30.03,29.18,29.65,35371800,29.6546153846,30.276999999999997,0.6223846153999979
111,2001-08-10,29.52,30.19,28.99,29.95,33243100,29.658846153800003,30.35,0.6911538461999989
112,2001-08-13,30.67,30.72,30.0,30.56,30521100,29.740769230799998,30.502,0.7612307692000009
113,2001-08-14,30.71,30.85,30.24,30.35,26816900,29.796538461500003,30.555999999999997,0.7594615384999948
114,2001-08-15,30.28,30.75,29.7,29.78,32553600,29.8730769231,30.459,0.5859230768999986
115,2001-08-16,29.41,30.24,29.08,30.16,37926400,29.9538461538,30.264,0.31015384619999864
116,2001-08-17,29.16,29.38,27.79,28.07,59501300,29.8757692308,29.903000000000002,0.02723076920000267
117,2001-08-20,28.07,28.68,27.9,28.2,34591300,29.7992307692,29.695,-0.10423076920000085
118,2001-08-21,28.33,28.51,27.02,27.07,34101500,29.72,29.34,-0.379999999999999
119,2001-08-22,27.59,28.0,27.0,27.96,41870900,29.6453846154,29.175,-0.4703846154000004
120,2001-08-23,27.89,28.37,27.62,27.67,29812900,29.5984615385,28.976999999999997,-0.6214615385000037
121,2001-08-24,28.06,29.15,27.85,29.08,36443100,29.5646153846,28.89,-0.6746153845999991
122,2001-08-27,29.02,29.83,28.6,29.15,27140800,29.534615384600002,28.749000000000002,-0.7856153845999998
123,2001-08-28,29.22,29.66,28.43,28.51,53824500,29.5157692308,28.565,-0.9507692307999989
124,2001-08-29,28.86,28.92,27.74,28.1,36789300,29.4857692308,28.397,-1.0887692308000005
125,2001-08-30,27.5,27.83,26.88,27.13,43518600,29.397692307699998,28.094,-1.3036923076999969
126,2001-08-31,27.02,28.13,27.01,27.96,35775800,29.3257692308,28.083000000000002,-1.242769230799997
127,2001-09-04,27.56,28.09,26.83,26.85,53185300,29.2346153846,27.948,-1.286615384600001
128,2001-09-05,26.94,27.69,26.34,27.47,69829800,29.1742307692,27.988000000000003,-1.186230769199998
129,2001-09-06,26.76,27.63,25.8,26.1,77730600,29.031538461500002,27.802,-1.2295384615000025
130,2001-09-07,26.16,26.98,25.73,25.89,71417200,28.8446153846,27.624000000000002,-1.2206153845999985
131,2001-09-10,25.53,26.14,25.46,26.07,50911600,28.6123076923,27.323,-1.2893076922999995
132,2001-09-17,24.26,25.0,23.5,23.59,78887700,28.3011538462,26.767,-1.5341538461999988
133,2001-09-18,23.88,24.48,23.2,23.47,54579100,28.0392307692,26.263,-1.776230769199998
134,2001-09-19,23.56,23.69,20.84,22.28,85286200,27.718461538499998,25.680999999999997,-2.0374615385000006
135,2001-09-20,21.46,22.27,20.5,20.67,68272400,27.374615384600002,25.035,-2.339615384600002
136,2001-09-21,19.0,20.75,18.96,19.3,13594900,26.976538461500002,24.169,-2.807538461500002
137,2001-09-24,20.0,21.72,19.5,21.31,77075300,26.6442307692,23.615,-3.0292307692000016
138,2001-09-25,21.56,23.5,20.8,21.68,63624700,26.3026923077,23.035999999999998,-3.2666923077000014
