,Date,Open,High,Low,Close,Volume,movel_26,movel_10
0,2001-03-05,28.62,29.31,28.28,28.72,48480200,,
1,2001-03-06,29.31,30.0,29.19,29.72,65596200,,
2,2001-03-07,29.94,30.56,29.66,30.34,58278200,,
3,2001-03-08,30.16,30.3,29.22,29.62,51626000,,
4,2001-03-09,28.97,29.09,27.44,28.34,1883400,,
5,2001-03-12,27.34,27.5,25.78,25.97,11777600,,
6,2001-03-13,26.09,27.38,26.0,27.09,89786600,,
7,2001-03-14,26.25,27.62,26.09,27.0,88943000,,
8,2001-03-15,27.66,28.04,26.5,26.84,69427600,,
9,2001-03-16,26.25,27.56,26.24,27.28,7722000,,28.092
10,2001-03-19,27.25,27.75,26.56,27.16,58903600,,27.936
11,2001-03-20,27.28,28.06,26.09,26.34,90016800,,27.598
12,2001-03-21,26.09,26.62,24.84,25.03,22157000,,27.067
13,2001-03-22,25.28,27.03,25.25,27.0,23278800,,26.805
14,2001-03-23,27.47,28.5,27.19,28.28,97512400,,26.799
15,2001-03-26,28.53,28.75,27.78,28.03,61710800,,27.005
16,2001-03-27,28.03,29.28,27.16,29.12,89953000,,27.208
17,2001-03-28,28.69,28.97,27.69,27.78,76657400,,27.286
18,2001-03-29,27.66,28.59,27.28,27.69,83567200,,27.371
19,2001-03-30,27.88,28.09,26.94,27.34,87132200,,27.377
20,2001-04-02,27.41,28.47,27.31,27.91,72614800,,27.452
21,2001-04-03,27.66,27.78,26.38,26.69,91508600,,27.487
22,2001-04-04,26.69,27.5,25.53,25.97,604000,,27.581
23,2001-04-05,26.88,28.69,26.75,28.38,9362400,,27.719
24,2001-04-06,28.19,28.59,27.53,28.09,89085400,,27.7
25,2001-04-09,28.28,28.75,27.83,28.58,54157200,27.7042307692,27.755
26,2001-04-10,28.97,30.04,28.89,29.84,6423600,27.7473076923,27.827
27,2001-04-11,30.32,30.75,29.85,30.5,8010000,27.7773076923,28.099
28,2001-04-12,29.78,31.16,29.68,31.09,84701000,27.8061538462,28.439
29,2001-04-16,30.7,30.79,29.75,30.39,61393200,27.8357692308,28.744
30,2001-04-17,30.26,31.05,30.02,30.74,80641400,27.9280769231,29.027
31,2001-04-18,31.7,33.3,31.5,32.72,53492200,28.1876923077,29.63
32,2001-04-19,32.91,35.3,32.88,34.01,39493200,28.4538461538,30.434
33,2001-04-20,35.15,35.55,34.25,34.5,89443200,28.7423076923,31.046
34,2001-04-23,34.05,34.26,33.45,34.12,90524200,29.0223076923,31.649
35,2001-04-24,34.1,34.97,33.5,33.78,86840200,29.2723076923,32.169
36,2001-04-25,33.8,35.0,33.63,34.84,73325600,29.5676923077,32.669
37,2001-04-26,35.02,35.5,34.12,34.57,12891400,29.8842307692,33.076
38,2001-04-27,34.76,34.84,33.11,33.56,23243400,30.2123076923,33.323
39,2001-04-30,34.26,34.53,33.7,33.88,68867000,30.4769230769,33.672
40,2001-05-01,33.83,35.24,33.8,35.08,80776200,30.7384615385,34.106
41,2001-05-02,35.5,35.58,34.68,34.88,91478000,31.0019230769,34.322
42,2001-05-03,34.62,35.09,34.07,34.26,63683000,31.1996153846,34.347
43,2001-05-04,34.0,35.53,33.98,35.38,18004200,31.4919230769,34.435
44,2001-05-07,35.42,36.08,35.35,35.69,7307600,31.7996153846,34.592
45,2001-05-08,35.87,36.12,35.38,36.03,72950400,32.1338461538,34.817
46,2001-05-09,35.62,35.65,34.93,35.2,72039600,32.4142307692,34.853
47,2001-05-10,35.57,35.62,34.98,35.0,63266400,32.7338461538,34.896
48,2001-05-11,34.98,35.0,34.32,34.7,49768800,33.0696153846,35.01
49,2001-05-14,34.57,34.6,34.15,34.36,43981400,33.2996153846,35.058
50,2001-05-15,34.37,34.65,34.0,34.14,59787800,33.5323076923,34.964
51,2001-05-16,33.85,34.94,33.66,34.58,89384600,33.7630769231,34.934
52,2001-05-17,34.55,35.07,33.78,34.08,957600,33.9261538462,34.916
53,2001-05-18,33.85,34.6,33.62,34.04,88576600,34.0623076923,34.782
54,2001-05-21,34.03,35.0,33.88,34.39,93119200,34.1892307692,34.652
55,2001-05-22,34.72,35.53,34.57,35.16,80164800,34.3726923077,34.565
56,2001-05-23,35.2,35.8,34.75,34.85,88151600,34.5307692308,34.53
57,2001-05-24,34.97,35.89,34.64,35.86,79196600,34.6515384615,34.616
58,2001-05-25,35.83,35.95,35.18,35.46,49141400,34.7073076923,34.692
59,2001-05-29,35.4,35.88,34.9,35.17,68956200,34.7330769231,34.773
60,2001-05-30,34.78,35.29,34.32,34.59,84388200,34.7511538462,34.818
61,2001-05-31,34.74,35.19,33.58,34.59,68767800,34.7823076923,34.819
62,2001-06-01,34.8,35.35,34.35,35.17,56049800,34.795,34.928
63,2001-06-04,35.28,35.51,34.9,35.39,42464200,34.8265384615,35.063
64,2001-06-05,35.38,36.54,35.25,36.3,88069600,34.9319230769,35.254
65,2001-06-06,36.44,36.74,35.78,36.18,79352200,35.0203846154,35.356
66,2001-06-07,36.06,37.25,36.04,36.82,60367400,35.0873076923,35.553
67,2001-06-08,36.82,36.88,36.03,36.59,50846400,35.1530769231,35.626
68,2001-06-11,36.42,36.42,35.76,36.06,44747200,35.2223076923,35.686
69,2001-06-12,35.51,36.2,35.41,36.04,64533000,35.2476923077,35.773
70,2001-06-13,36.02,36.15,35.31,35.34,54302800,35.2342307692,35.848
71,2001-06-14,35.11,35.28,34.2,34.45,70333600,35.1734615385,35.834
72,2001-06-15,33.72,34.2,33.2,34.01,106400,35.1276923077,35.718
73,2001-06-18,33.98,33.98,33.0,33.44,53656600,35.0676923077,35.523
74,2001-06-19,34.11,34.42,33.42,33.66,61816600,35.0276923077,35.259
75,2001-06-20,33.57,34.8,33.55,34.7,62919600,35.0407692308,35.111
76,2001-06-21,34.57,35.28,34.22,34.92,63333400,35.0707692308,34.921
77,2001-06-22,35.0,35.3,34.29,34.42,47809400,35.0646153846,34.704
78,2001-06-25,34.55,34.91,33.88,34.42,47766200,35.0776923077,34.54
79,2001-06-26,33.92,35.11,33.85,35.07,61387600,35.1173076923,34.443
80,2001-06-27,34.94,35.76,34.68,35.57,66158600,35.1626923077,34.466
81,2001-06-28,35.78,38.08,35.12,36.37,26215000,35.2092307692,34.658
82,2001-06-29,36.28,36.75,35.7,36.5,83168000,35.2726923077,34.907
83,2001-07-02,36.03,36.58,35.08,35.3,68772600,35.2511538462,35.093
84,2001-07-03,35.15,35.42,34.96,35.24,27081400,35.2426923077,35.251
85,2001-07-05,35.11,35.36,34.22,34.26,47680400,35.2076923077,35.207
86,2001-07-06,34.15,34.2,32.76,33.03,64697400,35.1476923077,35.018
87,2001-07-09,33.1,33.46,32.52,32.84,65217200,35.0803846154,34.86
88,2001-07-10,32.95,33.12,32.04,32.24,64222600,34.9676923077,34.642
89,2001-07-11,32.1,33.51,32.1,33.25,65988600,34.8853846154,34.46
90,2001-07-12,35.35,36.03,35.16,35.8,22595400,34.8661538462,34.483
91,2001-07-13,35.7,36.0,35.47,35.67,58043600,34.8465384615,34.413
92,2001-07-16,35.75,36.08,35.08,35.59,54920800,34.7992307692,34.322
93,2001-07-17,35.33,36.25,35.07,35.91,61212200,34.7730769231,34.383
94,2001-07-18,35.3,35.75,34.94,35.28,55881800,34.7430769231,34.387
95,2001-07-19,35.61,37.12,34.58,36.28,66589400,34.7523076923,34.589
96,2001-07-20,34.01,34.7,33.9,34.59,22347400,34.7234615385,34.745
97,2001-07-23,34.62,34.63,33.18,33.54,76978200,34.6884615385,34.815
98,2001-07-24,33.5,34.0,32.85,33.16,66388600,34.6557692308,34.907
99,2001-07-25,33.13,33.91,32.68,33.67,72313400,34.6646153846,34.949
100,2001-07-26,33.56,33.66,32.75,33.3,75679400,34.6507692308,34.699
101,2001-07-27,33.02,33.12,32.53,32.74,63764200,34.5753846154,34.406
102,2001-07-30,32.82,33.44,32.77,32.9,41721800,34.4976923077,34.137
103,2001-07-31,33.0,33.7,32.92,33.09,57220400,34.4465384615,33.855
104,2001-08-01,33.4,33.41,32.88,33.24,53751600,34.4011538462,33.651
105,2001-08-02,33.61,33.88,33.13,33.72,50712000,34.3492307692,33.395
106,2001-08-03,33.65,33.68,33.0,33.45,42478000,34.2676923077,33.281
107,2001-08-06,33.26,33.56,32.84,33.07,26991000,34.1407692308,33.234
108,2001-08-07,33.02,33.53,33.0,33.18,29087000,34.0130769231,33.236
109,2001-08-08,33.26,33.62,32.25,32.43,53885200,33.9026923077,33.112
110,2001-08-09,32.5,32.78,32.15,32.5,43648800,33.7973076923,33.032
111,2001-08-10,32.38,32.93,31.45,32.76,51088200,33.7396153846,33.034
112,2001-08-13,32.62,33.0,32.38,32.92,32190600,33.7353846154,33.036
113,2001-08-14,32.88,33.04,32.22,32.34,35506200,33.7161538462,32.961
114,2001-08-15,32.36,32.53,31.58,31.6,38246600,33.6915384615,32.797
115,2001-08-16,31.42,32.45,31.35,32.31,42344400,33.6553846154,32.656
116,2001-08-17,31.89,32.07,30.75,30.94,50961200,33.4684615385,32.405
117,2001-08-20,30.83,31.38,30.55,31.35,46261600,33.3023076923,32.233
118,2001-08-21,31.34,31.6,30.26,30.39,45689200,33.1023076923,31.954
119,2001-08-22,30.57,30.58,29.54,30.33,77079800,32.8876923077,31.744
120,2001-08-23,30.34,30.76,29.45,29.56,46087600,32.6676923077,31.45
121,2001-08-24,29.8,31.14,29.62,31.03,61660800,32.4657692308,31.277
122,2001-08-27,30.95,31.68,30.78,31.16,43187000,32.3338461538,31.101
123,2001-08-28,31.17,31.47,30.29,30.37,46102800,32.2119230769,30.904
124,2001-08-29,30.53,30.65,29.77,30.12,46519000,32.095,30.756
125,2001-08-30,29.52,29.83,28.26,28.47,95959800,31.895,30.372
126,2001-08-31,28.42,29.03,28.15,28.53,54556400,31.7115384615,30.131
