id,Date,Open,High,Low,Close,Volume,movel_26,movel_10,MACD
0,2001-04-09,14.16,14.62,13.7,14.49,73508500,18.5069230769,15.048,-3.458923076900001
1,2001-04-10,14.95,17.0,14.62,15.86,11151900,18.2292307692,14.822,-3.4072307692000003
2,2001-04-11,17.5,18.05,17.23,17.4,54468900,17.9753846154,14.987,-2.9883846153999998
3,2001-04-12,17.2,18.32,17.03,17.98,84913900,17.7438461538,15.26,-2.4838461538
4,2001-04-16,17.65,18.34,15.18,17.2,1736300,17.5280769231,15.399,-2.1290769230999977
5,2001-04-17,15.9,17.25,15.67,16.65,76546500,17.375384615399998,15.558,-1.8173846153999984
6,2001-04-18,17.9,19.5,17.15,18.0,38340800,17.3442307692,15.983,-1.3612307692000003
7,2001-04-19,18.36,19.0,18.02,18.9,90131500,17.248846153800002,16.504,-0.7448461538000011
8,2001-04-20,18.84,19.25,18.4,19.15,80469700,17.2065384615,16.925,-0.2815384614999985
9,2001-04-23,18.5,18.64,16.89,17.33,84455800,17.091923076900002,17.296,0.20407692309999706
10,2001-04-24,17.21,17.26,16.2,16.26,81613500,16.9503846154,17.473,0.5226153845999981
11,2001-04-25,16.08,16.33,15.38,15.73,88239900,16.755,17.46,0.7050000000000018
12,2001-04-26,16.17,16.3,14.98,15.21,97454400,16.6069230769,17.241,0.6340769231000003
13,2001-04-27,15.88,15.95,15.2,15.6,61321900,16.4642307692,17.003,0.5387692307999998
14,2001-04-30,16.49,17.55,16.0,16.98,86414000,16.3576923077,16.980999999999998,0.6233076922999992
15,2001-05-01,17.11,18.28,16.25,17.8,80773200,16.3234615385,17.096,0.7725384615000017
16,2001-05-02,19.27,20.09,18.8,19.99,68216900,16.4046153846,17.295,0.8903846154000021
17,2001-05-03,19.43,19.46,18.18,18.66,121700,16.4253846154,17.271,0.8456153846000021
18,2001-05-04,17.95,19.77,17.74,19.64,1968300,16.575,17.32,0.745000000000001
19,2001-05-07,19.84,20.55,19.08,19.25,21945900,16.728846153800006,17.512,0.7831538461999976
20,2001-05-08,20.5,21.0,18.65,20.37,60053200,16.9042307692,17.923,1.0187692307999967
21,2001-05-09,18.99,19.74,18.65,19.13,18126000,17.0607692308,18.263,1.2022307691999998
22,2001-05-10,19.53,19.75,18.75,18.83,62133000,17.2561538462,18.625,1.3688461538
23,2001-05-11,18.91,19.87,18.54,19.05,44783800,17.4623076923,18.97,1.5076923076999975
24,2001-05-14,18.93,19.05,18.18,18.57,39391000,17.6019230769,19.129,1.527076923100001
25,2001-05-15,18.63,19.67,18.41,18.74,84228600,17.7988461538,19.223,1.4241538461999994
26,2001-05-16,18.42,20.04,18.2,20.0,88948500,18.010769230799998,19.224,1.2132307692000026
27,2001-05-17,20.0,20.73,19.42,19.86,98152500,18.1646153846,19.344,1.1793846154
28,2001-05-18,19.71,20.39,19.65,20.2,73000700,18.2723076923,19.4,1.1276923076999985
29,2001-05-21,20.3,22.92,20.21,22.87,39154100,18.4603846154,19.762,1.3016153846000016
30,2001-05-22,23.39,24.13,22.78,23.48,47490200,18.7019230769,20.073,1.3710769230999986
31,2001-05-23,23.08,23.43,22.29,22.43,72902600,18.9242307692,20.403,1.4787692307999976
32,2001-05-24,22.42,22.95,21.85,22.91,78940500,19.1130769231,20.811,1.6979230769000004
33,2001-05-25,22.99,23.06,22.0,22.05,45345400,19.2342307692,21.111,1.8767692308000008
34,2001-05-29,21.52,21.55,20.38,20.46,67551400,19.284615384600002,21.3,2.0153846153999986
35,2001-05-30,19.81,19.99,18.79,19.0,80660100,19.3488461538,21.326,1.9771538462
36,2001-05-31,19.1,19.93,19.05,19.26,55303100,19.4642307692,21.252,1.7877692307999986
37,2001-06-01,19.61,20.0,18.48,18.85,71255300,19.5842307692,21.151,1.5667692307999983
38,2001-06-04,19.08,19.81,19.01,19.73,51555200,19.7580769231,21.104,1.3459230769
39,2001-06-05,20.26,21.88,20.2,21.54,86819100,19.9865384615,20.971,0.9844615384999996
40,2001-06-06,21.26,22.0,20.56,20.76,56128800,20.1319230769,20.699,0.5670769231000001
41,2001-06-07,20.46,22.0,20.4,21.82,51493100,20.2865384615,20.638,0.3514615385000006
42,2001-06-08,21.28,21.36,20.32,20.49,50322200,20.3057692308,20.396,0.0902307692000015
43,2001-06-11,20.31,21.5,19.67,20.38,46852200,20.3719230769,20.229,-0.14292307690000072
44,2001-06-12,19.93,20.58,19.25,20.37,57107300,20.4,20.22,-0.17999999999999972
45,2001-06-13,20.24,20.25,18.9,19.02,55780400,20.391153846199998,20.222,-0.16915384619999685
46,2001-06-14,18.33,19.01,17.64,17.74,83342300,20.29,20.07,-0.21999999999999886
47,2001-06-15,17.25,17.67,16.4,16.65,11946700,20.1946153846,19.85,-0.3446153845999973
48,2001-06-18,16.8,17.23,16.4,16.5,50937200,20.105,19.527,-0.5779999999999994
49,2001-06-19,17.44,17.52,16.33,16.64,58240300,20.0123076923,19.037,-0.9753076922999996
50,2001-06-20,16.6,16.85,16.14,16.4,66767600,19.928846153800002,18.601,-1.327846153800003
51,2001-06-21,16.58,18.31,16.28,17.68,80008900,19.888076923099998,18.187,-1.7010769230999967
52,2001-06-22,18.07,18.53,17.48,17.52,51652000,19.7926923077,17.89,-1.9026923077000009
53,2001-06-25,18.0,18.55,17.77,18.51,55096900,19.740769230799998,17.703,-2.0377692307999986
54,2001-06-26,17.97,18.1,17.65,18.02,61602400,19.6569230769,17.468,-2.1889230769
55,2001-06-27,18.01,18.25,17.6,17.93,43255800,19.466923076900002,17.359,-2.1079230769000006
56,2001-06-28,18.52,19.19,18.2,18.58,69043000,19.2784615385,17.442999999999998,-1.8354615385000024
57,2001-06-29,18.77,20.0,18.05,18.2,84327600,19.115769230799998,17.598,-1.517769230799999
58,2001-07-02,18.68,19.44,18.62,19.22,54242900,18.9738461538,17.87,-1.1038461537999993
59,2001-07-03,19.06,19.44,18.8,19.19,25425300,18.8638461538,18.125,-0.7388461538000008
60,2001-07-05,18.7,18.77,17.51,17.58,53791700,18.7530769231,18.243,-0.5100769231000015
61,2001-07-06,17.27,17.76,16.69,16.79,48657100,18.6680769231,18.154,-0.5140769230999993
62,2001-07-09,17.02,17.69,16.31,17.25,51966900,18.5907692308,18.127,-0.4637692308000005
63,2001-07-10,17.71,17.78,16.07,16.2,67128900,18.4888461538,17.896,-0.5928461538
64,2001-07-11,16.31,17.14,16.1,16.7,61982200,18.3723076923,17.764,-0.6083076923000021
65,2001-07-12,17.7,19.2,17.49,17.86,70361100,18.2307692308,17.757,-0.4737692307999986
66,2001-07-13,18.06,18.94,17.88,18.74,69340300,18.1530769231,17.773,-0.38007692309999896
67,2001-07-16,18.34,18.51,17.61,17.71,48519700,17.995,17.724,-0.2710000000000008
68,2001-07-17,17.59,18.0,16.98,17.79,59831500,17.891153846199998,17.581,-0.31015384619999864
69,2001-07-18,17.29,17.78,16.82,17.15,48592700,17.7669230769,17.377,-0.3899230769000006
70,2001-07-19,17.68,18.61,17.55,17.76,77645300,17.6665384615,17.395,-0.2715384615000005
71,2001-07-20,17.58,18.32,17.45,17.99,44815200,17.6269230769,17.515,-0.11192307689999836
72,2001-07-23,18.8,18.97,18.2,18.27,63479400,17.6473076923,17.617,-0.030307692299999186
73,2001-07-24,18.13,18.58,17.92,18.38,49782700,17.713846153800002,17.835,0.12115384619999857
74,2001-07-25,18.6,18.99,18.31,18.7,56466200,17.7984615385,18.035,0.23653846150000035
75,2001-07-26,18.71,19.49,18.2,19.38,63616400,17.9038461538,18.187,0.2831538462000012
76,2001-07-27,19.19,19.6,18.91,19.06,46084700,18.0061538462,18.219,0.21284615380000105
77,2001-07-30,19.05,19.5,18.55,18.89,50892900,18.0526923077,18.337,0.2843076923000005
78,2001-07-31,19.04,20.0,18.68,19.22,59592600,18.1180769231,18.48,0.3619230769000019
79,2001-08-01,19.82,20.34,19.75,20.3,79066900,18.1869230769,18.795,0.6080769231000005
80,2001-08-02,20.61,20.75,19.55,20.25,61215700,18.272692307699998,19.044,0.7713076923000024
81,2001-08-03,19.87,20.28,19.45,20.05,46425900,18.3542307692,19.25,0.8957692307999991
82,2001-08-06,19.85,20.0,19.39,19.54,38484000,18.391153846199998,19.377,0.9858461538000008
83,2001-08-07,19.4,19.76,18.25,19.26,67220200,18.431923076900002,19.465,1.0330769230999977
84,2001-08-08,18.67,18.99,17.83,17.98,87216300,18.384230769200002,19.393,1.0087692307999987
85,2001-08-09,17.81,18.51,17.61,18.29,48636900,18.3496153846,19.284,0.9343846154000026
86,2001-08-10,18.19,18.45,17.55,18.33,45157100,18.378461538499998,19.211,0.8325384615000004
87,2001-08-13,18.28,18.4,17.85,18.21,32415200,18.4330769231,19.143,0.7099230769000009
88,2001-08-14,18.31,18.4,17.61,17.65,35474400,18.4484615385,18.986,0.5375384615000023
89,2001-08-15,17.6,17.88,16.95,17.0,49865300,18.4792307692,18.656,0.17676923079999796
90,2001-08-16,16.63,17.52,16.16,17.48,54568400,18.509230769200002,18.379,-0.13023076920000065
91,2001-08-17,16.88,17.24,16.43,16.61,45174800,18.4611538462,18.035,-0.4261538461999983
92,2001-08-20,16.52,16.99,16.2,16.9,35916800,18.3903846154,17.771,-0.6193846153999978
93,2001-08-21,16.92,17.0,15.9,16.01,39114200,18.325,17.445999999999998,-0.8790000000000013
94,2001-08-22,16.32,16.57,15.75,16.48,59418100,18.2746153846,17.296,-0.9786153846000012
95,2001-08-23,16.38,17.11,16.25,16.76,60603500,18.2596153846,17.143,-1.116615384599999
96,2001-08-24,17.49,18.28,17.3,18.25,84315700,18.2784615385,17.135,-1.1434615384999989
97,2001-08-27,18.2,18.32,17.82,18.01,43850800,18.2792307692,17.115,-1.1642307692000031
98,2001-08-28,17.94,18.0,17.01,17.09,49679200,18.233846153800002,17.059,-1.1748461538000008
99,2001-08-29,17.39,17.47,16.88,17.08,55750800,18.1838461538,17.067,-1.116846153800001
100,2001-08-30,16.63,16.7,15.75,16.01,66141500,18.0803846154,16.92,-1.1603846153999982
101,2001-08-31,15.88,17.0,15.8,16.33,42884000,17.9630769231,16.892,-1.0710769231000017
102,2001-09-04,16.1,16.64,15.7,15.77,55432600,17.8365384615,16.779,-1.057538461500002
103,2001-09-05,15.74,16.2,14.1,14.88,15126400,17.6823076923,16.666,-1.0163076922999998
104,2001-09-06,14.54,15.25,14.3,14.4,80211200,17.4969230769,16.458,-1.0389230769000015
105,2001-09-07,14.25,14.9,14.22,14.36,58341400,17.2684615385,16.218,-1.050461538499999
106,2001-09-10,14.05,14.72,13.95,14.47,67667700,17.0461538462,15.84,-1.2061538461999994
107,2001-09-17,13.26,14.35,13.0,14.0,8950400,16.8134615385,15.439,-1.3744615385000003
108,2001-09-18,14.21,14.59,13.5,13.57,78228400,16.5838461538,15.087,-1.4968461538
109,2001-09-19,13.8,13.86,12.42,13.49,6630000,16.361923076900002,14.728,-1.6339230769000022
110,2001-09-20,12.96,13.3,12.65,12.88,83697500,16.1657692308,14.415,-1.7507692307999996
111,2001-09-21,11.9,12.7,11.86,12.09,26736000,15.9273076923,13.991,-1.9363076923
112,2001-09-24,12.58,13.15,12.32,12.56,4639900,15.7053846154,13.67,-2.0353846154
113,2001-09-25,12.62,13.06,12.2,12.6,84991600,15.4896153846,13.442,-2.0476153846000003
114,2001-09-26,12.93,12.95,12.0,12.23,82953300,15.281153846199999,13.225,-2.056153846199999
115,2001-09-27,11.85,12.0,11.04,11.24,1135800,15.0596153846,12.913,-2.1466153846000005
116,2001-09-28,11.58,12.27,11.47,12.18,84023900,14.8557692308,12.684,-2.171769230799999
117,2001-10-01,12.05,12.1,11.6,11.9,65156600,14.674615384600001,12.474,-2.2006153846000007
118,2001-10-02,11.8,12.06,11.3,11.48,73820800,14.4661538462,12.265,-2.2011538461999987
119,2001-10-03,11.36,14.42,11.15,13.95,92709200,14.3869230769,12.311,-2.075923076900001
120,2001-10-04,14.35,15.03,14.15,14.42,35852900,14.3076923077,12.465,-1.8426923077
121,2001-10-05,14.03,14.99,13.75,14.94,83072500,14.2376923077,12.75,-1.4876923076999995
122,2001-10-08,14.4,15.26,14.35,15.05,69844600,14.1146153846,12.999,-1.1156153846
123,2001-10-09,15.04,15.1,14.48,14.59,61469400,13.983076923099999,13.198,-0.7850769230999983
124,2001-10-10,14.57,15.25,14.36,15.15,63500300,13.9084615385,13.49,-0.41846153849999895
125,2001-10-11,15.6,16.51,15.5,16.46,13213500,13.8846153846,14.012,0.12738461540000046
126,2001-10-12,16.63,17.29,16.46,16.95,23497500,13.9207692308,14.489,0.5682307692000013
127,2001-10-15,16.65,16.65,16.0,16.21,62369200,13.916153846199999,14.92,1.0038461538000014
128,2001-10-16,16.52,17.14,16.25,16.97,66560900,13.9623076923,15.469,1.5066923077000016
129,2001-10-17,17.39,17.43,15.54,15.6,85415300,13.99,15.634,1.644
130,2001-10-18,15.69,16.78,15.47,16.72,70530900,14.0792307692,15.864,1.7847692308000005
131,2001-10-19,16.25,16.94,15.98,16.72,68590300,14.17,16.042,1.8720000000000017
132,2001-10-22,16.52,17.07,16.15,16.83,59768100,14.2607692308,16.22,1.9592307691999995
133,2001-10-23,17.27,17.37,16.38,16.41,93226000,14.3534615385,16.402,2.048538461500001
134,2001-10-24,16.6,17.3,16.52,17.23,76583400,14.494230769200001,16.61,2.115769230799998
135,2001-10-25,16.88,17.8,16.38,17.74,86869300,14.6576923077,16.738,2.0803076923
136,2001-10-26,17.38,17.83,17.1,17.29,60196600,14.8273076923,16.772000000000002,1.9446923077000025
137,2001-10-29,17.23,17.65,16.32,16.42,83149700,14.993846153800002,16.793,1.7991538461999976
138,2001-10-30,16.17,16.97,16.06,16.57,75032000,15.1480769231,16.753,1.6049230769000005
139,2001-10-31,17.12,17.41,16.5,16.92,83191000,15.3142307692,16.885,1.5707692308000016
140,2001-11-01,17.15,17.7,16.6,17.66,71406500,15.5230769231,16.979,1.4559230768999996
