id,Date,Open,High,Low,Close,Volume,movel_26,movel_10,MACD,Open-normalizado,High-normalizado,Low-normalizado,Close-normalizado,Volume-normalizado,movel_26-normalizado,movel_10-normalizado,MACD-normalizado
0,2001-04-09,14.16,14.62,13.7,14.49,73508500,18.5069230769,15.048,-3.458923076900001,0.2195309496347559,0.21307601417881047,0.2137112217541172,0.22794117647058829,0.13106722724070297,0.3379834924739681,0.21850011010097822,0.0
1,2001-04-10,14.95,17.0,14.62,15.86,11151900,18.2292307692,14.822000000000001,-3.4072307692000003,0.2499038831218762,0.30681370618353676,0.248946763692072,0.28095975232198145,0.019699697083268408,0.32629875384280554,0.2092579194060838,0.009272674588443396
2,2001-04-11,17.5,18.05,17.23,17.4,54468900,17.9753846154,14.987,-2.9883846154,0.3479430988081507,0.348168570303269,0.3489084641899656,0.34055727554179566,0.09706291611428666,0.31561741382209707,0.21600553650633855,0.08440617625659326
3,2001-04-12,17.2,18.32,17.03,17.98,84913900,17.7438461538,15.26,-2.4838461538,0.33640907343329485,0.3588026782197715,0.3412485637686711,0.3630030959752323,0.1514370233562321,0.3058747370109689,0.22716977570857833,0.1749113438517824
4,2001-04-16,17.65,18.34,15.18,17.2,1736300,17.5280769231,15.399000000000001,-2.1290769230999977,0.35371011149557857,0.3595903899172902,0.2703944848716967,0.3328173374613003,0.0028836404517275454,0.29679559799462907,0.23285413193242938,0.2385505926422457
5,2001-04-17,15.9,17.25,15.67,16.65,76546500,17.375384615399998,15.558,-1.8173846153999984,0.2864282968089197,0.3166601024025206,0.2891612409038683,0.31153250773993807,0.1364930291063962,0.2903706101321959,0.2393563811381294,0.2944626126239543
6,2001-04-18,17.9,19.5,17.15,18.0,38340800,17.3442307692,15.982999999999999,-1.3612307692000003,0.36332179930795844,0.4052776683733753,0.34584450402144773,0.3637770897832818,0.06825848060734561,0.28905971840020134,0.25673660700242207,0.3762884464139088
7,2001-04-19,18.36,19.0,18.02,18.9,90131500,17.248846153800002,16.504,-0.7448461538000011,0.3810073048827374,0.3855848759354076,0.3791650708540789,0.39860681114551083,0.16075554337415213,0.28504612396680057,0.27804271917959034,0.48685681169366113
8,2001-04-20,18.84,19.25,18.4,19.15,80469700,17.2065384615,16.925,-0.2815384614999985,0.39946174548250674,0.39543127215439144,0.3937188816545385,0.40828173374613,0.14349977890214594,0.2832659006300157,0.29525936644751316,0.5699659174034171
9,2001-04-23,18.5,18.64,16.89,17.33,84455800,17.091923076900002,17.296,0.20407692309999706,0.3863898500576701,0.37140606538007087,0.3358866334737649,0.3378482972136223,0.1506188667286238,0.2784431137719513,0.3104312812608133,0.6570766237520425
10,2001-04-24,17.21,17.26,16.2,16.26,81613500,16.9503846154,17.473,0.5226153845999981,0.3367935409457901,0.3170539582512801,0.30945997702029876,0.29643962848297223,0.1455425808027318,0.27248745751851605,0.3176696341501775,0.7142167211633422
11,2001-04-25,16.08,16.33,15.38,15.73,88239900,16.755,17.46,0.7050000000000018,0.29334871203383306,0.28042536431666,0.27805438529299126,0.2759287925696595,0.15737718695244532,0.26426606247013157,0.3171380037119757,0.7469332560558756
12,2001-04-26,16.17,16.3,14.98,15.21,97454400,16.6069230769,17.241,0.6340769231000003,0.29680891964628997,0.279243796770382,0.2627345844504022,0.2558049535603716,0.17383408336173767,0.2580352807892811,0.3081820755607284,0.7342109257485975
