Date,Open,High,Low,Close,Volume
2016-11-23,781.73,781.75,773.12,780.12,3540263
2016-11-25,786.5,786.75,777.9,780.37,1837068
2016-11-28,776.99,777.0,764.24,766.77,4438828
2016-11-29,768.0,769.89,761.32,762.52,3272344
2016-11-30,762.0,768.09,750.25,750.57,4625946
2016-12-01,752.41,753.37,738.03,743.65,4665993
2016-12-02,743.4,748.49,736.7,740.34,3561307
2016-12-05,745.0,761.49,742.0,759.36,4314723
2016-12-06,763.99,768.24,757.25,764.72,3794746
2016-12-07,764.55,770.42,755.82,770.42,3684906
2016-12-08,771.87,773.79,765.19,767.33,3189608
2016-12-09,770.0,770.25,765.34,768.66,2470923
2016-12-12,766.4,766.89,757.2,760.12,2963945
2016-12-13,764.96,782.46,762.0,774.34,5285288
2016-12-14,778.25,780.86,762.81,768.82,5454836
2016-12-15,766.28,769.1,760.31,761.0,3801927
2016-12-16,765.0,765.13,754.0,757.77,4848219
2016-12-19,758.89,770.5,756.16,766.0,3113240
2016-12-20,768.65,774.39,767.71,771.22,2703629
2016-12-21,770.0,771.22,765.7,770.6,2044629
2016-12-22,768.12,771.21,763.02,766.34,2543551
2016-12-23,764.55,766.5,757.99,760.59,1981616
2016-12-27,763.4,774.65,761.2,771.4,2638725
2016-12-28,776.25,780.0,770.5,772.13,3301025
2016-12-29,772.4,773.4,760.85,765.15,3158299
2016-12-30,766.47,767.4,748.28,749.87,4139449
2017-01-03,757.92,758.76,747.7,753.67,3521066
2017-01-04,758.39,759.68,754.2,757.18,2510526
2017-01-05,761.55,782.4,760.26,780.45,5830068
2017-01-06,782.36,799.44,778.48,795.99,5986234
2017-01-09,798.0,801.77,791.77,796.92,3446109
2017-01-10,796.6,798.0,789.54,795.9,2558369
2017-01-11,793.66,799.5,789.51,799.02,2992791
2017-01-12,800.31,814.13,799.5,813.64,4873922
2017-01-13,814.32,821.65,811.4,817.14,3791945
2017-01-17,815.7,816.0,803.44,809.72,3670529
2017-01-18,809.5,811.73,804.27,807.48,2354201
2017-01-19,810.0,813.51,807.32,809.04,2540784
2017-01-20,815.28,816.02,806.26,808.33,3376196
2017-01-23,806.8,818.5,805.08,817.88,2797474
2017-01-24,822.0,823.99,814.5,822.44,2971740
2017-01-25,825.79,837.42,825.29,836.52,4023078
2017-01-26,835.53,843.84,833.0,839.15,3586323
2017-01-27,839.0,839.7,829.44,835.77,2998700
2017-01-30,833.0,833.5,816.38,830.38,3747336
2017-01-31,823.75,826.99,819.56,823.48,3137196
2017-02-01,829.21,833.78,824.94,832.35,3850181
2017-02-02,836.59,842.49,828.26,839.95,7350492
2017-02-03,806.72,818.3,804.0,810.2,10868773
2017-02-06,809.8,810.72,803.0,807.64,3897301
2017-02-07,809.31,816.16,807.5,812.5,3466091
2017-02-08,812.69,821.48,812.5,819.71,2857985
2017-02-09,821.6,825.0,819.71,821.36,2484948
2017-02-10,823.82,828.0,822.85,827.46,2429609
2017-02-13,831.62,843.0,828.55,836.53,4172618
2017-02-14,837.0,838.31,831.45,836.39,2792442
2017-02-15,834.0,842.81,832.82,842.7,2968853
2017-02-16,841.84,845.0,839.38,844.14,2714667
2017-02-17,842.0,847.27,840.73,845.07,3112275
2017-02-21,848.84,857.98,847.25,856.44,3507742
2017-02-22,856.95,858.43,852.18,855.61,2616971
2017-02-23,857.57,860.86,848.0,852.19,3461984
2017-02-24,844.69,845.81,837.75,845.24,3687963
2017-02-27,842.38,852.5,839.67,848.64,2713627
2017-02-28,851.45,854.09,842.05,845.04,2793709
2017-03-01,853.05,854.83,849.01,853.08,2760083
2017-03-02,853.08,854.82,847.28,848.91,2132098
2017-03-03,847.2,851.98,846.27,849.88,1951575
2017-03-06,845.23,848.49,841.12,846.61,2610370
2017-03-07,845.48,848.46,843.75,846.02,2247554
2017-03-08,848.0,853.07,846.79,850.5,2288317
2017-03-09,851.0,856.4,850.31,853.0,2048187
2017-03-10,857.0,857.35,851.72,852.46,2436434
2017-03-13,851.77,855.69,851.71,854.59,1909672
2017-03-14,853.55,853.75,847.55,852.53,2130586
2017-03-15,854.33,854.45,847.11,852.97,2562176
2017-03-16,855.3,855.5,850.51,853.42,1842296
2017-03-17,853.49,853.83,850.64,852.31,3384403
2017-03-20,851.51,857.8,851.01,856.97,2282727
2017-03-21,858.84,862.8,841.31,843.2,4382852
2017-03-22,840.43,849.37,839.05,848.06,2658669
2017-03-23,848.2,850.89,844.8,847.38,1952964
2017-03-24,851.68,851.8,843.53,845.61,2138269
2017-03-27,838.07,850.3,833.5,846.82,2755775
2017-03-28,851.75,858.46,850.1,856.0,3041633
2017-03-29,859.05,876.44,859.02,874.32,4485770
2017-03-30,874.95,877.06,871.66,876.34,2762730
2017-03-31,877.0,890.35,876.65,886.54,3957612
2017-04-03,888.0,893.49,885.42,891.51,3422328
2017-04-04,891.5,908.54,890.28,906.83,4984656
2017-04-05,910.82,923.72,905.62,909.28,7508370
2017-04-06,913.8,917.19,894.49,898.28,6344065
2017-04-07,899.65,900.09,889.31,894.88,3710922
2017-04-10,899.63,908.51,899.0,907.04,3184301
2017-04-11,907.04,911.24,897.5,902.36,3012743
2017-04-12,903.09,904.09,895.25,896.23,2456140
2017-04-13,891.45,894.97,884.49,884.67,3174583
2017-04-17,887.5,902.38,887.5,901.99,2854673
2017-04-18,900.99,909.61,900.78,903.78,2999238
2017-04-19,907.84,910.5,897.37,899.2,2870242
2017-04-20,899.7,905.32,896.29,902.06,2814441
2017-04-21,902.67,903.65,896.77,898.53,2420494
2017-04-24,908.68,909.99,903.82,907.41,3122893
2017-04-25,907.04,909.48,903.0,907.62,3380639
2017-04-26,910.3,915.75,907.56,909.29,2608948
2017-04-27,914.39,921.86,912.11,918.38,5305543
2017-04-28,948.83,949.59,924.33,924.99,7364681
2017-05-01,927.8,954.4,927.8,948.23,5466544
2017-05-02,946.64,950.1,941.41,946.94,3848835
2017-05-03,946.0,946.0,935.9,941.03,3582686
2017-05-04,944.75,945.0,934.22,937.53,2418381
2017-05-05,940.52,940.79,930.3,934.15,2866397
2017-05-08,940.95,949.05,939.21,949.04,3415731
2017-05-09,952.8,957.89,950.2,952.82,3262113
2017-05-10,953.5,953.75,945.0,948.95,2096512
2017-05-11,945.11,950.29,940.78,947.62,2194070
2017-05-12,954.5,962.79,951.53,961.35,3625857
2017-05-15,958.73,963.15,956.06,957.97,4270625
2017-05-16,961.0,970.06,960.91,966.07,3126051
2017-05-17,954.7,960.4,944.12,944.76,5145578
2017-05-18,944.8,962.75,944.76,958.49,3939347
2017-05-19,962.84,968.92,959.72,959.84,3972089
2017-05-22,964.0,971.38,962.9,970.67,2642217
2017-05-23,975.02,975.2,966.85,971.54,2415594
