Date,Open,High,Low,Close,Volume
2016-11-23,35.48,35.52,35.1,35.2,15843618
2016-11-25,35.11,35.45,35.11,35.44,6372836
2016-11-28,35.43,35.66,35.21,35.51,13549048
2016-11-29,35.64,35.64,35.27,35.31,19581040
2016-11-30,35.2,35.3,34.7,34.7,27016070
2016-12-01,34.86,34.93,33.56,33.76,29618687
2016-12-02,33.72,34.26,33.6,34.16,21492534
2016-12-05,34.31,34.42,33.96,34.39,14461972
2016-12-06,34.39,34.75,34.3,34.72,15297703
2016-12-07,34.67,35.57,34.45,35.5,21710273
2016-12-08,35.48,36.03,35.22,35.7,19966537
2016-12-09,35.75,35.9,35.59,35.76,16326925
2016-12-12,35.78,36.09,35.67,35.97,21985830
2016-12-13,36.01,36.89,35.93,36.8,35773592
2016-12-14,36.7,36.89,36.46,36.55,30819365
2016-12-15,36.74,37.16,36.53,36.79,23721538
2016-12-16,36.72,36.87,36.08,36.31,38212824
2016-12-19,36.34,36.95,36.27,36.89,18744306
2016-12-20,36.95,37.24,36.89,37.21,18551844
2016-12-21,37.25,37.34,36.91,36.98,14323574
2016-12-22,37.23,37.24,36.81,36.93,10793879
2016-12-23,36.93,36.98,36.77,36.97,6287281
2016-12-27,36.91,37.33,36.91,37.07,9033706
2016-12-28,37.1,37.2,36.58,36.63,12868584
2016-12-29,36.51,36.72,36.43,36.66,8447998
2016-12-30,36.79,36.8,36.2,36.27,17467984
2017-01-03,36.61,36.93,36.27,36.6,20196466
2017-01-04,36.71,36.77,36.34,36.41,15915729
2017-01-05,36.45,36.72,36.3,36.35,13986002
2017-01-06,36.59,36.68,36.19,36.48,15113998
2017-01-09,36.48,36.88,36.48,36.61,19461422
2017-01-10,36.55,36.93,36.53,36.54,15918766
2017-01-11,36.51,37.0,36.51,36.95,22398426
2017-01-12,36.83,36.83,36.32,36.71,20391946
2017-01-13,36.71,36.86,36.62,36.79,15072235
2017-01-17,36.67,36.83,36.59,36.8,20195202
2017-01-18,36.89,37.01,36.61,36.76,15382452
2017-01-19,36.51,36.91,36.51,36.57,13654522
2017-01-20,36.76,37.03,36.58,36.94,23950936
2017-01-23,37.07,37.21,36.55,36.77,27752565
2017-01-24,36.84,37.74,36.81,37.62,35140871
2017-01-25,37.87,38.0,37.52,37.8,32357313
2017-01-26,37.82,37.92,37.42,37.56,34144843
2017-01-27,38.0,38.45,37.81,37.98,44368566
2017-01-30,37.74,37.84,37.33,37.42,23954716
2017-01-31,37.22,37.37,36.64,36.82,27059084
2017-02-01,36.82,36.95,36.02,36.52,28380640
2017-02-02,36.26,36.7,36.2,36.68,31916939
2017-02-03,36.69,36.82,36.45,36.52,21038146
2017-02-06,36.51,36.51,36.15,36.27,21426961
2017-02-07,36.45,36.52,36.24,36.35,18581866
2017-02-08,36.34,36.65,36.14,36.38,20807358
2017-02-09,36.5,36.5,35.4,35.46,47802687
2017-02-10,35.26,35.43,34.84,35.34,44106523
2017-02-13,35.57,35.85,35.34,35.8,28180550
2017-02-14,35.84,35.96,35.53,35.93,25734801
2017-02-15,35.98,36.06,35.67,36.05,18452197
2017-02-16,36.18,36.56,36.1,36.41,21317455
2017-02-17,36.32,36.48,36.1,36.48,18909888
2017-02-21,36.53,36.65,36.33,36.52,20556017
2017-02-22,36.34,36.4,35.79,36.07,29904370
2017-02-23,36.24,36.3,35.9,36.18,22774979
2017-02-24,36.14,36.53,35.95,36.53,18617592
2017-02-27,36.42,36.68,36.27,36.51,14065236
2017-02-28,36.42,36.46,36.0,36.2,24977011
2017-03-01,35.85,36.1,35.44,35.93,34085869
2017-03-02,35.93,36.02,35.65,35.91,23602100
2017-03-03,35.94,36.08,35.67,35.9,17540896
2017-03-06,35.79,35.8,35.42,35.57,24416732
2017-03-07,35.54,35.8,35.38,35.8,23434893
2017-03-08,35.67,35.9,35.52,35.62,20920148
2017-03-09,35.6,35.94,35.5,35.82,23616786
2017-03-10,36.12,36.3,35.78,35.91,25402348
2017-03-13,35.85,36.04,34.94,35.16,53582931
2017-03-14,35.06,35.23,34.66,35.18,28586871
2017-03-15,34.94,35.17,34.68,35.1,27996095
2017-03-16,35.17,35.36,35.07,35.14,19616053
2017-03-17,35.31,35.33,35.1,35.27,30778867
2017-03-20,35.37,35.63,35.26,35.43,17322274
2017-03-21,35.59,35.6,35.0,35.04,22814547
2017-03-22,35.22,35.46,35.0,35.37,19144498
2017-03-23,35.49,35.49,35.02,35.27,20640352
2017-03-24,35.65,35.73,35.12,35.16,22187960
2017-03-27,35.07,35.5,34.94,35.39,16992235
2017-03-28,35.34,35.71,35.21,35.6,18398148
2017-03-29,35.52,35.7,35.44,35.57,17202642
2017-03-30,35.58,35.89,35.52,35.75,16432950
2017-03-31,35.75,36.25,35.74,36.07,21438385
2017-04-03,36.19,36.74,36.12,36.16,32013641
2017-04-04,36.12,36.38,35.99,36.28,18918045
2017-04-05,36.43,36.76,36.17,36.22,22455525
2017-04-06,36.13,36.28,36.03,36.03,20198223
2017-04-07,36.07,36.32,35.98,36.03,15689513
2017-04-10,36.02,36.09,35.61,35.8,19973723
2017-04-11,35.77,35.79,35.21,35.74,22711830
2017-04-12,35.87,36.01,35.5,35.63,19289787
2017-04-13,35.55,35.76,35.25,35.25,15763996
2017-04-17,35.44,35.59,35.33,35.48,12560746
2017-04-18,35.43,35.81,35.3,35.76,12321050
2017-04-19,35.97,36.22,35.89,35.91,16594635
2017-04-20,36.18,36.27,35.86,36.18,22968262
2017-04-21,36.2,36.42,35.85,36.32,20390513
2017-04-24,36.67,36.85,36.46,36.75,26305762
2017-04-25,36.77,37.0,36.66,36.87,22066776
2017-04-26,36.78,37.23,36.78,36.93,27240993
2017-04-27,36.87,37.5,36.78,37.43,39889967
2017-04-28,36.1,36.48,35.88,36.15,56769258
2017-05-01,36.11,36.4,35.94,36.31,24825614
2017-05-02,36.37,37.03,36.35,36.97,35813021
2017-05-03,36.72,37.17,36.62,36.98,22040256
2017-05-04,36.99,37.11,36.64,36.85,16437088
2017-05-05,36.86,36.93,36.5,36.82,18119243
2017-05-08,36.73,36.85,36.48,36.54,17660214
2017-05-09,36.48,36.75,36.28,36.37,17819144
2017-05-10,36.27,36.38,35.93,36.01,25133822
2017-05-11,35.91,36.0,35.45,35.69,21508923
2017-05-12,35.72,35.74,35.4,35.53,19730842
2017-05-15,35.54,35.72,35.42,35.63,22120137
2017-05-16,35.75,35.89,35.42,35.82,22291843
2017-05-17,35.67,35.99,35.02,35.04,26670188
2017-05-18,35.19,35.47,35.08,35.22,17171872
2017-05-19,35.15,35.55,35.13,35.4,18340127
2017-05-22,35.48,36.11,35.38,35.77,14638066
2017-05-23,35.87,35.99,35.56,35.86,16903704
2017-05-24,35.98,36.18,35.89,36.12,20860257
2017-05-25,36.12,36.39,36.06,36.26,13148542
2017-05-26,36.26,36.33,36.13,36.26,11145523
2017-05-30,36.27,36.44,36.09,36.18,13026915
2017-05-31,36.31,36.38,35.87,36.11,17741896
2017-06-01,36.12,36.13,35.8,36.12,17510915
2017-06-02,36.27,36.33,36.0,36.32,19127420
2017-06-05,36.3,36.5,36.2,36.34,11685699
2017-06-06,36.16,36.45,35.98,36.13,18420926
2017-06-07,36.13,36.57,36.1,36.26,17191983
2017-06-08,36.34,36.53,36.16,36.48,17154167
2017-06-09,36.5,36.56,35.31,35.71,33322053
2017-06-12,35.59,36.01,35.41,35.73,28488290
2017-06-13,35.68,35.95,35.53,35.88,20588247
2017-06-14,35.99,36.05,35.22,35.53,19149017
2017-06-15,35.21,35.48,35.14,35.31,20410009
2017-06-16,35.28,35.33,35.01,35.21,30762781
2017-06-19,35.61,35.61,35.32,35.51,21583752
2017-06-20,35.45,35.45,34.84,34.86,21536505
2017-06-21,34.33,34.6,34.09,34.58,27138493
2017-06-22,34.56,34.63,34.29,34.36,24602910
2017-06-23,34.21,34.55,34.1,34.19,29260888
2017-06-26,34.26,34.51,34.03,34.07,18854766
2017-06-27,34.0,34.14,33.65,33.65,27078918
2017-06-28,33.77,34.24,33.74,34.2,25940057
2017-06-29,33.92,34.1,33.34,33.54,25215664
2017-06-30,33.87,33.93,33.54,33.74,24432020
2017-07-03,33.51,34.03,33.43,33.46,12676894
2017-07-05,33.52,34.43,33.48,34.34,30010803
2017-07-06,34.12,34.29,33.56,33.63,20733189
2017-07-07,33.7,34.12,33.7,33.88,18304460
2017-07-10,33.25,33.74,33.23,33.65,29918436
2017-07-11,33.64,33.93,33.43,33.92,25737540
2017-07-12,34.28,34.39,33.94,34.25,23768337
2017-07-13,34.33,34.4,34.12,34.24,15046199
2017-07-14,34.48,34.71,34.26,34.68,16316353
2017-07-17,34.74,34.74,34.36,34.47,21044407
2017-07-18,34.43,34.58,34.25,34.53,14362830
2017-07-19,34.68,34.68,34.46,34.56,17036197
2017-07-20,34.54,34.84,34.48,34.75,17506216
2017-07-21,34.54,34.82,34.4,34.73,22245041
2017-07-24,34.73,34.8,34.38,34.5,16146284
2017-07-25,34.55,34.74,34.4,34.67,18096682
2017-07-26,34.7,34.97,34.59,34.75,15499322
2017-07-27,34.78,35.25,34.67,34.97,43062842
2017-07-28,35.13,35.86,35.0,35.31,36291484
2017-07-31,35.47,35.74,35.32,35.47,27056989
2017-08-01,35.66,36.43,35.57,36.35,38710244
2017-08-02,36.33,36.67,36.06,36.64,35004283
