,Date,Open,High,Low,Close,Volume,movel_10,movel_26,MACD
0,2016-09-19,779.97,781.94,771.0,775.1,2297221,,,
1,2016-09-20,776.0,781.37,776.0,780.22,1937164,,,
2,2016-09-21,783.25,790.69,779.01,789.74,2718644,,,
3,2016-09-22,794.27,805.89,794.27,804.7,4078910,,,
4,2016-09-23,803.13,807.75,802.12,805.75,2353511,,,
5,2016-09-26,801.8,805.93,797.14,799.16,2651397,,,
6,2016-09-27,801.85,816.64,801.11,816.11,3819600,,,
7,2016-09-28,818.0,830.14,817.03,828.72,4422078,,,
8,2016-09-29,828.26,837.5,824.63,829.05,4922248,,,
9,2016-09-30,832.61,839.95,832.4,837.31,4430566,806.586,,
10,2016-10-03,836.0,839.86,831.25,836.74,2769448,812.75,,
11,2016-10-04,840.91,842.36,830.26,834.03,2950314,818.1310000000001,,
12,2016-10-05,838.0,845.67,836.12,844.36,3469055,823.5930000000001,,
13,2016-10-06,843.7,847.21,840.6,841.66,2684013,827.289,,
14,2016-10-07,845.79,845.95,837.45,839.43,2426228,830.6569999999999,,
15,2016-10-10,843.25,845.2,840.27,841.71,1827143,834.9119999999999,,
16,2016-10-11,841.02,841.29,828.35,831.0,3588180,836.4009999999998,,
17,2016-10-12,834.0,837.67,830.1,834.09,2380416,836.9379999999999,,
18,2016-10-13,829.0,831.8,821.21,829.28,3091387,836.961,,
19,2016-10-14,835.08,835.74,822.96,822.96,2999814,835.5260000000001,,
20,2016-10-17,821.5,822.0,811.68,812.95,3361492,833.1470000000002,,
21,2016-10-18,822.11,823.26,815.02,817.65,2512504,831.509,,
22,2016-10-19,820.4,820.67,815.17,817.69,2090706,828.842,,
23,2016-10-20,813.99,815.71,803.1,810.32,3151954,825.708,,
24,2016-10-21,809.36,819.42,809.0,818.99,2793015,823.664,,
25,2016-10-24,824.95,838.3,822.21,838.09,4060899,823.302,820.6465384615386,2.6554615384613953
26,2016-10-25,839.3,843.09,833.22,835.18,3248358,823.72,822.957307692308,0.7626923076920775
27,2016-10-26,832.76,833.44,820.0,822.59,3998102,822.57,824.5869230769233,-2.0169230769232627
28,2016-10-27,831.24,831.72,815.43,818.36,7406385,821.4780000000001,825.6876923076925,-4.209692307692421
29,2016-10-28,782.0,789.49,774.61,776.32,10841073,816.8140000000001,824.596153846154,-7.78215384615396
30,2016-10-31,781.03,793.7,780.11,789.82,5413326,814.5010000000001,823.9834615384617,-9.48246153846162
31,2016-11-01,799.0,800.84,776.71,785.41,5305428,811.2770000000003,823.4546153846155,-12.177615384615251
32,2016-11-02,783.93,784.75,763.55,765.56,5026504,806.0640000000001,821.5103846153847,-15.446384615384659
33,2016-11-03,765.05,777.0,764.0,767.03,3872496,801.7350000000002,819.1376923076924,-17.402692307692178
