Date,Open,High,Low,Close,Volume
2016-09-19,30.85,31.25,30.82,31.02,16833453
2016-09-20,31.08,31.22,31.04,31.1,15878912
2016-09-21,31.11,31.38,30.97,31.36,21169350
2016-09-22,31.5,31.8,31.49,31.66,20261859
2016-09-23,31.71,31.8,31.31,31.34,20442199
2016-09-26,31.1,31.16,30.79,31.07,20361549
2016-09-27,31.09,31.61,30.96,31.48,18045376
2016-09-28,31.44,31.59,31.36,31.5,15840958
2016-09-29,31.51,31.57,31.25,31.39,15417082
2016-09-30,31.61,31.8,31.56,31.72,30380612
2016-10-03,31.31,31.58,31.2,31.5,14070450
2016-10-04,31.46,31.63,31.15,31.35,18460433
2016-10-05,31.41,31.68,31.41,31.59,11808636
2016-10-06,31.57,31.63,31.21,31.48,14077118
2016-10-07,31.48,31.6,31.23,31.47,13073224
2016-10-10,31.54,31.68,31.44,31.47,12759374
2016-10-11,31.52,31.53,30.85,31.04,19412018
2016-10-12,30.53,30.63,29.94,30.34,36899871
2016-10-13,30.09,30.25,29.86,30.17,24286555
2016-10-14,30.35,30.55,30.16,30.18,20545127
2016-10-17,30.13,30.42,30.1,30.22,13957529
2016-10-18,30.69,30.69,30.43,30.44,14444850
2016-10-19,30.44,30.45,30.19,30.35,14830895
2016-10-20,30.28,30.37,30.04,30.16,17315335
2016-10-21,30.01,30.2,29.92,30.15,15140452
2016-10-24,30.34,30.5,30.3,30.46,14115340
2016-10-25,30.5,30.51,30.23,30.34,15257768
2016-10-26,30.59,30.86,30.32,30.55,18008646
2016-10-27,30.6,30.67,30.36,30.38,16926192
2016-10-28,30.36,30.8,30.35,30.59,19946832
2016-10-31,30.34,30.77,30.32,30.68,23225406
2016-11-01,30.85,30.86,30.23,30.48,17542055
2016-11-02,30.43,30.68,30.23,30.39,19173984
2016-11-03,30.5,30.56,30.24,30.32,15937140
2016-11-04,29.98,30.5,29.63,30.19,18524002
2016-11-07,30.71,31.06,30.61,30.94,23061116
2016-11-08,30.94,31.2,30.72,31.0,19399814
2016-11-09,31.04,31.49,30.7,31.36,38564143
2016-11-10,31.41,31.76,30.81,31.0,38345220
2016-11-11,30.93,31.47,30.92,31.36,23150319
2016-11-14,31.43,31.67,31.35,31.37,22917565
2016-11-15,31.27,31.85,31.27,31.7,24160155
2016-11-16,31.62,31.89,31.51,31.57,27097140
2016-11-17,29.91,30.05,29.61,30.05,75252307
2016-11-18,30.11,30.36,30.0,30.18,38748563
2016-11-21,30.3,30.33,30.01,30.05,27481710
2016-11-22,30.08,30.19,29.85,29.89,26769272
2016-11-23,29.83,29.95,29.56,29.71,24496763
2016-11-25,29.6,30.14,29.55,30.09,17678862
2016-11-28,30.08,30.09,29.82,29.92,21468918
2016-11-29,29.94,30.1,29.79,29.83,23553735
2016-11-30,29.76,29.95,29.68,29.82,26224892
2016-12-01,29.84,29.85,29.4,29.45,25996185
2016-12-02,29.31,29.56,29.12,29.25,27069499
2016-12-05,29.33,29.6,29.29,29.53,20865842
