,Date,Open,High,Low,Close,Volume,movel_10,movel_26,MACD
0,2016-09-19,30.85,31.25,30.82,31.02,16833453,,,
1,2016-09-20,31.08,31.22,31.04,31.1,15878912,,,
2,2016-09-21,31.11,31.38,30.97,31.36,21169350,,,
3,2016-09-22,31.5,31.8,31.49,31.66,20261859,,,
4,2016-09-23,31.71,31.8,31.31,31.34,20442199,,,
5,2016-09-26,31.1,31.16,30.79,31.07,20361549,,,
6,2016-09-27,31.09,31.61,30.96,31.48,18045376,,,
7,2016-09-28,31.44,31.59,31.36,31.5,15840958,,,
8,2016-09-29,31.51,31.57,31.25,31.39,15417082,,,
9,2016-09-30,31.61,31.8,31.56,31.72,30380612,31.363999999999997,,
10,2016-10-03,31.31,31.58,31.2,31.5,14070450,31.412,,
11,2016-10-04,31.46,31.63,31.15,31.35,18460433,31.437,,
12,2016-10-05,31.41,31.68,31.41,31.59,11808636,31.459999999999997,,
13,2016-10-06,31.57,31.63,31.21,31.48,14077118,31.441999999999997,,
14,2016-10-07,31.48,31.6,31.23,31.47,13073224,31.455000000000002,,
15,2016-10-10,31.54,31.68,31.44,31.47,12759374,31.494999999999997,,
16,2016-10-11,31.52,31.53,30.85,31.04,19412018,31.451,,
17,2016-10-12,30.53,30.63,29.94,30.34,36899871,31.334999999999997,,
18,2016-10-13,30.09,30.25,29.86,30.17,24286555,31.213,,
19,2016-10-14,30.35,30.55,30.16,30.18,20545127,31.059000000000005,,
20,2016-10-17,30.13,30.42,30.1,30.22,13957529,30.931000000000004,,
21,2016-10-18,30.69,30.69,30.43,30.44,14444850,30.840000000000003,,
22,2016-10-19,30.44,30.45,30.19,30.35,14830895,30.716000000000008,,
23,2016-10-20,30.28,30.37,30.04,30.16,17315335,30.58400000000001,,
24,2016-10-21,30.01,30.2,29.92,30.15,15140452,30.45200000000001,,
25,2016-10-24,30.34,30.5,30.3,30.46,14115340,30.35100000000001,31.000384615384615,-0.649384615384605
26,2016-10-25,30.5,30.51,30.23,30.34,15257768,30.281000000000006,30.974230769230772,-0.693230769230766
27,2016-10-26,30.59,30.86,30.32,30.55,18008646,30.30200000000001,30.95307692307692,-0.6510769230769107
28,2016-10-27,30.6,30.67,30.36,30.38,16926192,30.323000000000008,30.915384615384614,-0.5923846153846064
29,2016-10-28,30.36,30.8,30.35,30.59,19946832,30.364000000000004,30.87423076923077,-0.5102307692307662
30,2016-10-31,30.34,30.77,30.32,30.68,23225406,30.410000000000004,30.84884615384615,-0.43884615384614634
31,2016-11-01,30.85,30.86,30.23,30.48,17542055,30.414000000000005,30.826153846153844,-0.41215384615383854
32,2016-11-02,30.43,30.68,30.23,30.39,19173984,30.418,30.784230769230764,-0.36623076923076425
33,2016-11-03,30.5,30.56,30.24,30.32,15937140,30.433999999999997,30.73884615384615,-0.3048461538461531
34,2016-11-04,29.98,30.5,29.63,30.19,18524002,30.438,30.692692307692308,-0.2546923076923093
35,2016-11-07,30.71,31.06,30.61,30.94,23061116,30.486,30.662692307692307,-0.17669230769230637
36,2016-11-08,30.94,31.2,30.72,31.0,19399814,30.552000000000003,30.64346153846154,-0.09146153846153737
37,2016-11-09,31.04,31.49,30.7,31.36,38564143,30.633000000000003,30.643846153846155,-0.010846153846152617
38,2016-11-10,31.41,31.76,30.81,31.0,38345220,30.695000000000004,30.621153846153845,0.07384615384615856
39,2016-11-11,30.93,31.47,30.92,31.36,23150319,30.77200000000001,30.61653846153846,0.1554615384615481
40,2016-11-14,31.43,31.67,31.35,31.37,22917565,30.841000000000008,30.612692307692306,0.22830769230770187
41,2016-11-15,31.27,31.85,31.27,31.7,24160155,30.963000000000005,30.62153846153846,0.3414615384615445
42,2016-11-16,31.62,31.89,31.51,31.57,27097140,31.081000000000007,30.641923076923078,0.4390769230769287
43,2016-11-17,29.91,30.05,29.61,30.05,75252307,31.05400000000001,30.63076923076923,0.4232307692307806
44,2016-11-18,30.11,30.36,30.0,30.18,38748563,31.053000000000008,30.631153846153843,0.42184615384616464
45,2016-11-21,30.3,30.33,30.01,30.05,27481710,30.96400000000001,30.626153846153844,0.337846153846165
46,2016-11-22,30.08,30.19,29.85,29.89,26769272,30.85300000000001,30.613461538461536,0.2395384615384728
47,2016-11-23,29.83,29.95,29.56,29.71,24496763,30.688000000000006,30.585384615384612,0.10261538461539388
48,2016-11-25,29.6,30.14,29.55,30.09,17678862,30.597,30.575384615384614,0.021615384615387256
49,2016-11-28,30.08,30.09,29.82,29.92,21468918,30.453000000000003,30.566153846153842,-0.11315384615383905
50,2016-11-29,29.94,30.1,29.79,29.83,23553735,30.299,30.553846153846152,-0.2548461538461524
51,2016-11-30,29.76,29.95,29.68,29.82,26224892,30.111,30.529230769230768,-0.4182307692307674
52,2016-12-01,29.84,29.85,29.4,29.45,25996185,29.899,30.495,-0.5960000000000001
53,2016-12-02,29.31,29.56,29.12,29.25,27069499,29.819,30.445,-0.6260000000000012
54,2016-12-05,29.33,29.6,29.29,29.53,20865842,29.754,30.412307692307692,-0.6583076923076909
55,2016-12-06,29.42,29.59,29.24,29.33,27352068,29.682,30.363846153846154,-0.6818461538461555
56,2016-12-07,29.48,30.04,29.32,29.95,30180093,29.688,30.335769230769237,-0.6477692307692386
57,2016-12-08,30.11,30.33,29.92,29.95,21369897,29.712,30.315384615384623,-0.6033846153846234
58,2016-12-09,29.98,30.07,29.73,30.06,21361984,29.709000000000003,30.30269230769231,-0.593692307692308
59,2016-12-12,30.08,30.2,30.02,30.17,17287809,29.734,30.29692307692308,-0.5629230769230773
60,2016-12-13,30.3,30.64,30.2,30.59,25052903,29.810000000000002,30.31230769230769,-0.5023076923076886
61,2016-12-14,30.6,31.06,30.41,30.46,27555980,29.874000000000002,30.293846153846154,-0.41984615384615154
62,2016-12-15,30.59,30.8,30.5,30.63,20914063,29.992,30.279615384615383,-0.28761538461538194
