,Date,Open,High,Low,Close,Volume,movel_10,movel_26,MACD
0,2016-09-19,57.27,57.75,56.85,56.93,20937104,,,
1,2016-09-20,57.35,57.35,56.75,56.81,17383982,,,
2,2016-09-21,57.51,57.85,57.08,57.76,33707272,,,
3,2016-09-22,57.92,58.0,57.63,57.82,19822203,,,
4,2016-09-23,57.87,57.91,57.38,57.43,19955336,,,
5,2016-09-26,57.08,57.14,56.83,56.9,21688720,,,
6,2016-09-27,56.93,58.06,56.68,57.95,28065071,,,
7,2016-09-28,57.88,58.06,57.67,58.03,20536400,,,
8,2016-09-29,57.81,58.17,57.21,57.4,25463536,,,
9,2016-09-30,57.57,57.77,57.34,57.6,29910788,57.463,,
10,2016-10-03,57.4,57.55,57.06,57.42,19189515,57.512,,
11,2016-10-04,57.27,57.6,56.97,57.24,20085874,57.55499999999999,,
12,2016-10-05,57.29,57.96,57.26,57.64,16726411,57.54299999999999,,
13,2016-10-06,57.74,57.86,57.28,57.74,16212611,57.53499999999999,,
14,2016-10-07,57.85,57.98,57.42,57.8,20089020,57.57199999999999,,
15,2016-10-10,57.91,58.39,57.87,58.04,18196509,57.68599999999999,,
16,2016-10-11,57.89,58.02,56.89,57.19,26497418,57.60999999999999,,
17,2016-10-12,57.11,57.27,56.4,57.11,22177464,57.517999999999994,,
18,2016-10-13,56.7,57.3,56.32,56.92,25313748,57.46999999999999,,
19,2016-10-14,57.12,57.74,57.12,57.42,27402451,57.451999999999984,,
20,2016-10-17,57.36,57.46,56.87,57.22,23830014,57.431999999999995,,
21,2016-10-18,57.53,57.94,57.41,57.66,19149538,57.47399999999999,,
22,2016-10-19,57.47,57.84,57.4,57.53,22878397,57.46299999999999,,
23,2016-10-20,57.5,57.52,56.66,57.25,49455612,57.41399999999999,,
24,2016-10-21,60.28,60.45,59.48,59.66,80032206,57.59999999999999,,
25,2016-10-24,59.94,61.0,59.93,61.0,54066978,57.895999999999994,57.67192307692308,0.22407692307691462
26,2016-10-25,60.85,61.37,60.8,60.99,35137164,58.275999999999996,57.82807692307692,0.4479230769230753
27,2016-10-26,60.81,61.2,60.47,60.63,29911608,58.628,57.97500000000001,0.6529999999999916
28,2016-10-27,60.61,60.83,60.09,60.1,28479856,58.946000000000005,58.065000000000005,0.8810000000000002
29,2016-10-28,60.01,60.52,59.58,59.87,33574684,59.19100000000001,58.143846153846155,1.0471538461538543
30,2016-10-31,60.16,60.42,59.92,59.92,26434697,59.461,58.239615384615384,1.2213846153846148
31,2016-11-01,59.97,60.02,59.25,59.8,24532986,59.675,58.35115384615384,1.323846153846155
32,2016-11-02,59.82,59.93,59.3,59.43,22147005,59.864999999999995,58.40807692307692,1.4569230769230757
33,2016-11-03,59.53,59.64,59.11,59.21,21600427,60.061,58.45346153846154,1.6075384615384607
34,2016-11-04,58.65,59.28,58.52,58.71,28697016,59.96600000000001,58.50384615384615,1.4621538461538606
35,2016-11-07,59.78,60.52,59.78,60.42,31664798,59.908,58.612307692307695,1.2956923076923061
36,2016-11-08,60.55,60.78,60.15,60.47,22935355,59.85600000000001,58.729615384615386,1.126384615384623
37,2016-11-09,60.0,60.59,59.2,60.17,49632479,59.81,58.8423076923077,0.9676923076923032
38,2016-11-10,60.48,60.49,57.63,58.7,57822394,59.67,58.88307692307693,0.786923076923074
39,2016-11-11,58.23,59.12,58.01,59.02,38767843,59.585,58.932307692307695,0.6526923076923055
40,2016-11-14,59.02,59.08,57.28,58.12,41328422,59.40500000000001,58.94461538461538,0.4603846153846263
41,2016-11-15,58.33,59.49,58.32,58.87,35904126,59.31200000000001,58.97653846153845,0.33546153846155846
42,2016-11-16,58.94,59.66,58.81,59.65,27332475,59.33400000000002,59.07115384615384,0.2628461538461764
43,2016-11-17,60.41,60.95,59.96,60.64,31463728,59.47700000000001,59.20692307692308,0.2700769230769282
44,2016-11-18,60.78,61.14,60.3,60.35,27686311,59.641000000000005,59.33884615384615,0.3021538461538569
45,2016-11-21,60.5,60.97,60.42,60.86,19652595,59.68500000000002,59.47115384615384,0.2138461538461769
46,2016-11-22,60.98,61.26,60.8,61.12,23206700,59.750000000000014,59.62115384615383,0.12884615384618314
47,2016-11-23,61.01,61.1,60.25,60.4,21848913,59.77300000000001,59.726538461538446,0.04646153846156409
48,2016-11-25,60.3,60.53,60.13,60.53,8409616,59.956,59.84192307692307,0.11407692307693651
49,2016-11-28,60.34,61.02,60.21,60.61,20732619,60.11500000000001,59.971153846153825,0.1438461538461837
50,2016-11-29,60.65,61.41,60.52,61.09,22366721,60.41200000000001,60.026153846153825,0.38584615384618814
51,2016-11-30,60.86,61.18,60.22,60.26,34655435,60.55100000000001,59.99769230769228,0.553307692307726
52,2016-12-01,60.11,60.15,58.94,59.2,34542121,60.506000000000014,59.92884615384613,0.5771538461538839
53,2016-12-02,59.08,59.47,58.8,59.25,25515665,60.36700000000002,59.8757692307692,0.49123076923081754
54,2016-12-05,59.7,60.58,59.56,60.22,23552658,60.35400000000002,59.88038461538459,0.47361538461542807
55,2016-12-06,60.43,60.46,59.8,59.95,19907035,60.26300000000002,59.883461538461525,0.3795384615384947
56,2016-12-07,60.01,61.38,59.8,61.37,30808969,60.288000000000025,59.93923076923075,0.34876923076927824
57,2016-12-08,61.3,61.58,60.84,61.01,21220753,60.349000000000025,59.98576923076921,0.36323076923081743
58,2016-12-09,61.18,61.99,61.12,61.97,27349356,60.49300000000003,60.08346153846151,0.40953846153851714
59,2016-12-12,61.82,62.3,61.72,62.17,20198081,60.64900000000002,60.19730769230767,0.4516923076923547
60,2016-12-13,62.5,63.42,62.24,62.98,35718868,60.83800000000002,60.36153846153844,0.4764615384615851
